ast,a,e,i,Om,om,q,Q,rasc,rdes,dnode,moid,P,syn,lnode,nodepass,owner,cls,t_fly,pool_all,pool_deep,pool_short,maxdep,fly_r,fly_z,fly_vrel
11,2.4391983,0.6118902,39.51172,347.89802,162.3993,0.9466767643733399,3.93171983562666,3.66148411107719,0.9638042494727865,0.036195750527213466,0.028976674539942814,3.8095235529992837,1.355932235888344,167.89801999999997,3.9375002651421647,r7,tail,382.7400953137096,234,16,194,46,0.9659630166780598,-0.011418473264661666,25.59766535875041
12,2.5430471,0.6246302,0.44808,125.36536,277.86165,0.9545830813175799,4.13151111868242,1.428773157253399,1.695723519563432,0.42877315725339904,0.006700869843607229,4.055380474097104,1.3272914808737561,125.36536,3.6987898165928863,r3,deep,4066.509952950102,130,60,54,48,1.0996997330735778,-0.0064823110560357396,14.265605619825138
13,2.1785708,0.7108614,2.52172,74.85241,98.3819,0.62990891111288,3.72723268888712,1.2022691250665256,0.9764994088115974,0.023500591188402642,0.003638428454504558,3.2155666632068702,1.4513517993417417,254.85241000000002,4.66480765945016,r2,deep,2841.3526113580097,167,98,41,48,0.9128491082442357,0.015756128304394827,19.44648644207873
14,2.136714,0.574076,8.85374,226.433,31.25146,0.910077773736,3.363350226264,0.960929619817619,2.813170288099414,0.03907038018238096,0.026944584319047827,3.1233423746955378,1.4709556084394484,226.433,4.80254746374457,r5,tail,1086.4695505535608,118,65,25,45,0.9914601509569073,-0.02110454288760582,13.329702650904373
15,2.7243079,0.6415852,13.83947,133.6246,166.78307,0.9764322711169201,4.47218352888308,4.26972880090327,0.986646645760989,0.013353354239010962,0.026827284260061993,4.496600295259262,1.2859920824681659,313.6246,3.3358535371299083,r7,tail,3627.429457949852,373,25,339,48,0.9779391556041737,0.03307149756342242,12.326995839067532
16,2.2620457,0.5935572,23.15184,235.51959,140.00618,0.9193921880359599,3.6046992119640398,2.6869447073363535,1.0071296251493174,0.007129625149317365,0.01516220255861064,3.402139067419935,1.4162956314906738,55.519589999999994,4.408990844508741,r4,deep,753.780756609934,149,15,103,40,1.0071020203124244,4.139106670750601e-05,16.442779366499256
17,2.2301886,0.5419751,39.65677,267.12483,5.0141,1.02148191049614,3.4388952895038605,1.0228576959910731,3.4233935437879857,0.022857695991073124,0.005061700560252786,3.3305226173664906,1.4290883051502017,267.12483,4.503797668805743,r9,tail,1309.0336423479816,329,16,285,46,1.0242500792160514,-0.02390383639491023,22.549960063063228
18,2.2052447,0.6598497,3.02961,82.16378,169.30021,0.7501146462784101,3.6603747537215905,3.5409467163804904,0.7553353471019703,0.24466465289802974,0.046033627686511994,3.274803006848003,1.4395985045692432,262.16378,4.580428187171324,r5,tail,4808.967231704806,194,27,129,48,1.0873930640573477,-0.05274621235973316,16.546390422031234
19,1.9236716,0.6388452,10.7844,40.94164,103.1481,0.69474323196368,3.15259996803632,1.3321630940305393,0.994114475636093,0.005885524363906991,0.005729679429576168,2.6680649648649353,1.5994970346259691,220.94164,5.622052010551153,r3,deep,5285.183903025793,175,43,96,48,0.9331625090628415,0.02130183460575243,17.808880401363144
20,1.961768,0.4930609,5.31181,168.07244,147.23365,0.9944969043287999,2.9290390956712002,2.5364930153074567,1.049651321334424,0.04965132133442407,0.019130837385066914,2.7477136371484523,1.5721761155515086,348.07244000000003,5.459084162630149,r7,tail,1995.674156493349,495,93,371,48,1.043872745557596,0.0029036403964363003,9.786691811135862
21,1.7597807,0.5788447,7.13333,311.6149,120.82624,0.7411409686427101,2.77842043135729,1.663607312021508,0.9024584003320848,0.0975415996679152,0.024967928878939064,2.334467464514723,1.749362593387504,131.61489999999998,6.425448299455362,r3,deep,2737.1541039178605,190,113,31,48,0.9253207745080365,-0.007268366780136777,13.073008849390671
22,2.1223157,0.653834,34.88704,275.31036,284.97994,0.7346735366061999,3.5099578633938004,1.0393707167608393,1.4621339192968439,0.03937071676083925,0.015873408203189946,3.091825539053706,1.478051339048273,275.31036,4.851502715962087,r8,tail,4756.7102100029415,304,53,214,48,0.9676227086285627,-0.07740766443390025,21.856784058769648
23,2.8902616,0.8954152,24.285,126.52941,302.96204,0.30227743138368013,5.47824576861632,0.3852533460222949,1.1172374754159633,0.1172374754159633,0.027541587614766813,4.913667095095631,1.2555148344766316,306.52941,3.0527098620440962,r6,tail,1384.4879570511139,150,25,77,45,1.1243136097820308,0.0019892868929217555,31.890662863896736
24,1.2900749,0.2993525,64.00427,94.35212,61.50561,0.90388775349775,1.67626204650225,1.0276999878605497,1.3701429056955055,0.027699987860549724,0.04347574183295092,1.4652859601392347,3.1492159352944036,94.35212,10.23690965999201,r4,deep,3816.5868344478426,202,83,64,48,1.0310992154652157,-0.013220523705767323,31.76016506321759
25,1.5415156,0.4059747,24.53703,220.68627,321.78869,0.91569926674468,2.16733193325532,0.9760889109617166,1.8904965796212745,0.02391108903828343,0.030140670826090732,1.9139116507043168,2.0941976713277897,220.68627,7.8373523639296625,r6,tail,4505.1603970463675,159,30,82,45,0.9845411213314785,0.017936208768733735,16.613933587277558
26,0.8586365,0.6427473,19.2213,161.99674,47.81378,0.30675020794355,1.41052279205645,0.35198504421178234,0.8865965957883942,0.11340340421160577,0.04714107709904708,0.7956352557713102,3.893211907827764,341.99674,18.852859889244847,r5,tail,4100.267089273766,195,18,130,48,0.9072186341317,-0.008204399197770447,23.412875939185152
27,1.7764915,0.4144802,60.6846,43.45101,2.59571,1.0401709477816998,2.5128120522183,1.0404837753564964,2.5109882838104993,0.04048377535649639,0.048847365830714265,2.3677982802020274,1.7311019574116568,43.45101,6.334999110954738,r4,deep,1891.7126736766445,123,9,84,46,1.0403556653059858,0.0095159280148194,32.05327820049975
28,2.379216,0.5758477,5.87999,26.93149,174.56857,1.0091499385968001,3.7492820614032,3.72656654818814,1.0108083415924134,0.010808341592413395,0.006239289684374312,3.6698710766676736,1.3745499206831076,206.93149,4.087337044444717,r1,deep,465.977447170197,136,83,26,47,1.0181040572379088,0.032277824372734173,11.179391388601495
29,1.8469723,0.5893724,51.3362,164.28075,293.54199,0.75841780281548,2.93552679718452,0.9757169931268528,1.576537435000818,0.024283006873147217,0.015746961919576797,2.5100973963501163,1.662208942560252,164.28075,5.975863734136854,r5,tail,319.2123891905721,215,40,118,48,1.5208256779367109,-0.06087728454595987,24.32377025250258
30,1.4707151,0.56018,6.35218,35.50297,286.09771,0.646849915282,2.294580284718,0.8735227234380336,1.1947812309892871,0.1264772765619664,0.026352505394972994,1.7835809581481306,2.2761923188681634,35.50297,8.410047175864845,r1,deep,2892.9735190465617,132,52,42,47,0.8915451220211157,0.004253768118516143,20.162959264756946
31,2.7060815,0.8582965,48.41215,309.2807,114.23695,0.38346121983524994,5.02870178016475,1.1002454637797385,0.5269270172972612,0.10024546377973853,0.043425054693596095,4.451550539477713,1.2897248609175282,309.2807,3.369612423126595,r2,deep,2309.6506307598925,119,93,20,48,1.0335562281470667,0.04079187189998063,36.37912434141236
32,2.1329374,0.5261187,11.6234,58.16545,183.58089,1.01075914793062,3.25511565206938,3.2480751186709185,1.011439918614791,0.0114399186147911,0.0024742390310650416,3.1150653653626112,1.4727986266412896,238.16545,4.8153082650494925,r7,tail,4991.58062068278,287,22,219,45,1.0192434724902137,0.032250394505885634,9.944023526702818
33,1.9713638,0.5537355,27.12971,315.60707,57.99014,0.8797496805250999,3.0629779194749003,1.0567309548879595,1.93478995765835,0.05673095488795954,0.032666516334799084,2.767898536634553,1.565643321309402,315.60707,5.419273792542366,r8,tail,3531.2308533692376,316,23,247,47,1.141662107822364,-0.10056322980996328,19.680767765462427
34,2.626685,0.6307928,2.79844,266.7232,95.499,0.969791014132,4.283578985868,1.683278790315695,1.4913776293381293,0.49137762933812934,0.04306307214643924,4.25708175844157,1.3070233031173508,86.72320000000002,3.5235405028939804,r6,tail,3562.2636809142746,142,37,77,47,1.0526254121966838,0.03777064837447161,11.342119395747075
35,1.1099069,0.292096,44.05781,38.30847,91.01207,0.7857075341376,1.4341062658623998,1.0204744980776084,1.0099986739203088,0.009998673920308843,0.0029758067914553285,1.1693104392471376,6.906310351840317,218.30847,12.82807327851941,r1,deep,5437.837104206677,137,83,12,48,1.0219564423831526,-0.0035105203267794373,22.19130929826222
36,2.7171262,0.784464,46.75042,70.17634,277.9808,0.5856385126431999,4.8486138873568,0.9424076102028417,1.1727859547522401,0.057592389797158305,0.031748738636910884,4.478831410280345,1.2874528489782187,70.17634,3.349087881622474,r9,tail,1495.9215244127784,271,10,245,46,0.9650165434103558,0.023451639694277666,36.85626563980896
37,0.7532601,0.3398784,24.92726,272.66887,156.64665,0.49724326242815997,1.00927693757184,0.9684290425277837,0.5077956171600124,0.03157095747221628,0.04567054416892988,0.6537586458060702,1.8881587594528066,272.66887,22.94424723286883,r4,deep,5069.700113638789,210,127,19,48,0.9440503344091227,0.04622630357923649,16.833478478398867
38,2.1368372,0.5778302,9.53681,78.7561,39.13098,0.90210813335656,3.37156626664344,0.9828393602108964,2.5796309759635343,0.01716063978910365,0.0018225761618404905,3.123612510048614,1.4708957002598877,78.7561,4.802132131224736,r3,deep,2328.2103279935536,107,47,40,46,0.9650568158190017,0.012281195503302205,10.720758161194222
39,2.0053413,0.5700748,52.36973,252.04419,219.55372,0.86214675947076,3.14853584052924,2.4152365679371535,0.9403222961480504,0.05967770385194959,0.043690709445383225,2.8397652947556566,1.543547594277678,72.04418999999996,5.282126670010823,r7,tail,2479.606923056408,99,51,40,48,0.9459146046639783,0.017320105021458886,32.51260711214255
40,2.2749288,0.5664273,9.28064,247.76284,322.40456,0.9863470221237601,3.56351057787624,1.066426548258351,2.8030596408618713,0.06642654825835104,0.03167848451466077,3.4312448755660925,1.411311920921647,247.76284,4.371591228249273,r6,tail,4935.529012880232,134,21,74,45,1.1358355341594415,0.0409181891573183,14.716333734987012
41,2.5345579,0.6190904,47.83485,55.15904,187.34432,0.9654374358658399,4.10367836413416,4.04967933169029,0.9684755551861023,0.03152444481389771,0.04397842968430668,4.035090923276905,1.3294794209724454,235.15904,3.717388352631834,r1,deep,4157.738824798747,95,39,19,47,0.9681035436771303,-0.005805455718158568,28.259813595783374
42,1.0569542,0.3442881,25.15147,236.20005,255.58121,0.69305744669498,1.42085095330502,1.019030712683698,0.858103395023664,0.019030712683697937,0.005655152604713207,1.0866364109668516,12.542491070903383,236.20005,13.804065323610422,r1,deep,892.7413623741045,144,84,40,48,1.0515983262225999,0.03837685081365605,14.800740079758118
43,2.1080611,0.7625195,11.62102,135.99028,107.91942,0.50062340405855,3.7154987959414503,1.152824126241385,0.7146852473814622,0.15282412624138497,0.033419982306968014,3.0607283870380018,1.4852653102126452,135.99028,4.900794223859943,r1,deep,2268.648608587842,129,66,46,47,1.0065354958346286,0.030348267788443246,24.86204111926616
44,0.7615816,0.6016359,20.2845,203.55397,148.33841,0.30338676866055997,1.21977643133944,0.9959120891711932,0.3213532492825439,0.004087910828806773,0.004026015874802312,0.6646219254296563,1.9817095267217752,203.55397,22.5692223293762,r2,deep,1854.5518089385641,148,117,19,48,0.9314868673481954,0.031940003863332414,20.98593717901801
45,1.5062784,0.4303842,37.98278,164.09288,125.15536,0.85799997583872,2.15455682416128,1.6316023396757184,0.9835362604252827,0.01646373957471725,0.023450250679737536,1.8486635253240153,2.178323293225316,344.09288000000004,8.113969791972258,r3,deep,4723.2920652651155,113,40,40,47,0.9903563317027612,-0.014758165793939076,22.438611603928248
46,2.1965633,0.5440374,13.53118,82.01076,204.47648,1.00155071333258,3.3915758866674204,3.0631238627643556,1.0343018276967757,0.0343018276967757,0.014464104649223658,3.25548414638974,1.4433637902534844,262.01076,4.607609598294211,r2,deep,1206.6576223855097,163,123,9,48,1.0538152886629935,0.027022087866693967,11.933657754020272
47,2.8487174,0.6529252,1.99822,141.2725,293.89656,0.98871802186152,4.70871677813848,1.2924382472851246,2.2219682228682185,0.2924382472851246,0.030343260428002304,4.8081062080279215,1.2625977179659238,141.2725,3.1197314183607343,r2,deep,4275.156954267374,115,74,20,48,0.9972039729145932,-0.028197566967379465,8.436513728027915
48,2.6346507,0.8696748,5.9548,84.58326,302.38055,0.34336137940764005,4.92594002059236,0.4379846307048572,1.201626638512886,0.20162663851288598,0.014514478220079249,4.276461508533989,1.3052073089811567,264.58326,3.507572784197031,r3,deep,2135.7757059045625,126,43,64,44,1.072803056400109,-0.00946600620554033,30.562641055166626
49,1.0779942,0.8270189,22.80162,87.94857,31.44438,0.18647262250962,1.9695157774903802,0.1997509747976292,1.1571085619371901,0.15710856193719014,0.03416377214995866,1.1192436427548702,9.386191304602338,267.94857,13.401907705349556,r1,deep,1641.5801722164983,239,145,73,48,1.0573932907214598,0.02511292588828329,28.62620495524856
50,1.8662592,0.5078643,10.61149,284.1074,61.54418,0.9184527777734399,2.8140656222265603,1.1150691596713584,1.8270179943545426,0.11506915967135845,0.04595616891120764,2.5495171780363886,1.645362319420841,284.1074,5.88346692825692,r6,tail,1765.352359131031,123,23,77,42,1.1617867387790313,-0.023243410442797735,13.503840912873859
51,2.0361805,0.4927933,10.029,313.49561,344.83848,1.0327643920093499,3.03959660799065,1.0447693339900834,2.9401646490381586,0.044769333990083426,0.025767345655039707,2.9055236245451606,1.524790134910395,313.49561,5.16258063547776,r7,tail,2840.255331871044,354,15,314,47,1.146595010748481,0.10125421031192341,13.793155400513827
52,1.7352089,0.5283516,42.36114,131.99742,300.71884,0.8184085013507599,2.65200929864924,0.9849754611543253,1.713201338213516,0.015024538845674673,0.0027242009377314988,2.2857443230069947,1.7777596074943431,131.99742,6.562413761249927,r3,deep,998.3144456122423,141,39,68,46,0.9769816418593456,-0.015162637804067314,26.599758093184523
53,2.31463,0.6050551,29.53092,132.13915,224.21624,0.9141513138870002,3.715108686113,2.5907396559277784,1.0234453102737686,0.023445310273768616,0.007131713272449104,3.5214568130206922,1.3965961244452192,312.13915,4.259600726760882,r6,tail,5421.368083754147,141,13,99,45,1.0316629838753322,0.013575944750378297,17.1235071885178
54,1.319908,0.3266154,17.99169,18.12085,48.77155,0.8888057206168001,1.7510102793832003,0.9702477155949352,1.5025403813851843,0.029752284405064833,0.02479985192693922,1.5164059915196397,2.93646087849848,18.12085,9.891810032330467,r2,deep,5334.1044437048495,128,41,72,47,1.0381823127737952,-0.09199827116085502,12.952271008722002
55,1.7074001,0.4367044,22.71515,302.02023,24.71568,0.9617709637695601,2.45302923623044,0.9893183984701794,2.290368930887613,0.010681601529820561,0.02688742904186597,2.231017381328187,1.8123362148803015,302.02023,6.723390021762216,r1,deep,4986.672194714728,116,38,45,48,0.997745063184888,-0.023351446203754008,16.17364509919439
56,1.348659,0.3295322,33.46935,117.85066,47.49688,0.9042324326801999,1.7930855673198,0.9832855224224518,1.5465282009090902,0.01671447757754818,0.0032217883094353248,1.5662216839025551,2.766092730867751,117.85066,9.577188308761308,r8,tail,1102.5459827038994,154,33,93,46,0.9760374687111739,0.020473422338135587,19.922930306647654
57,1.4229631,0.2897508,55.89453,171.12615,186.41125,1.01065840340452,1.83526779659548,1.8305972934221597,1.0120803746237974,0.012080374623797407,0.00520932865957391,1.6974244646441157,2.4338470339010603,351.12615,8.836917525602484,r2,deep,4559.950776996447,108,60,24,48,1.0109228599801998,-0.0532294952367793,29.1774308322407
58,3.0280445,0.727252,20.16655,110.95612,126.42497,0.825893081286,5.230195918714,2.5106934754305317,0.9963021473034752,0.0036978526965247838,0.014780020967491647,5.269184187580908,1.2342367899958517,290.95612,2.8467404945444748,r8,tail,3114.2235066039475,274,8,251,46,1.1373334182136003,-0.10781340255189102,18.241268907131257
59,1.6359485,0.5001928,7.40973,10.62092,105.96629,0.8176588391292,2.4542381608708,1.4223447673867373,1.0782857446503327,0.07828574465033267,0.024375563356525402,2.09244688113823,1.9153763146434093,190.62092,7.1686407598746005,r5,tail,4652.076104661385,168,42,81,47,0.998076854493478,0.025181038373348473,13.216433317879183
60,0.6423893,0.6883841,38.87863,244.89558,192.65395,0.20017871986987,1.08459988013013,1.0293676328741181,0.20218093510654225,0.029367632874118144,0.012343368676347012,0.5148698343159638,1.0613024518687568,244.89558,29.13357707182131,r5,tail,2517.5728559422478,244,105,76,48,0.9892802571649333,-0.046888622507710594,23.198290972795903
61,2.5262805,0.7117857,4.44104,177.7231,316.20909,0.7281101659111501,4.32445083408885,0.8233285562961337,2.5635778351576666,0.17667144370386634,0.03428993071429063,4.015340273390912,1.3316375298750103,177.7231,3.735673437044144,r1,deep,3340.202038606588,116,75,9,47,0.8745617364142456,0.011216426325355312,15.738452828575223
62,2.387441,0.605372,23.72574,9.79921,145.04893,0.9421510669479999,3.832730933052,3.0021180902564675,1.010904300240642,0.010904300240641929,0.009994834762960677,3.6889177470026633,1.3718968351169165,189.79921,4.066233250168798,r5,tail,2465.9796847580365,152,18,110,47,1.014013399980797,-0.005346848861742194,16.369168794564843
63,1.7840613,0.5082827,53.19536,357.06027,225.62494,0.87725380547049,2.69086879452951,2.052881933602302,0.9761544289893322,0.023845571010667754,0.01934665536510076,2.3829485127777703,1.7230927187530753,177.06026999999995,6.294722659582227,r3,deep,714.7490521609093,119,67,18,47,0.9693369296445595,-0.02063410335942481,30.565800590808518
64,3.6552163,0.7238267,44.12226,19.21585,343.26959,1.0094731477847898,6.300959452215211,1.0277404466295186,5.67171786474638,0.027740446629518578,0.028654448605488728,6.988269139017023,1.1669931622619338,19.21585,2.146454250917691,r5,tail,5243.177986959587,229,30,179,48,1.0207651707162713,-0.04399571745078606,26.796997662350698
65,1.2705255,0.5851656,5.05883,96.9752,258.97377,0.5270576834772001,2.0139933165227997,0.9407617037778307,0.7513808102363959,0.05923829622216925,0.007216448089051513,1.4321057185583643,3.314248474508282,96.9752,10.474087077244421,r3,deep,5179.887880722369,196,146,19,48,0.994187865375975,0.007344275387340439,19.713359966577645
66,1.8432235,0.5812927,38.56598,116.51175,104.09227,0.7717711349815499,2.91467586501845,1.4216035190160303,1.0690828207970744,0.0690828207970744,0.040051885443609936,2.5024591577789344,1.665575496560111,296.51175,5.994103821184158,r1,deep,3817.383959302832,119,50,56,48,1.0955797807858414,-0.033242429477353175,22.148055716827233
67,1.572938,0.3950417,1.43938,99.34195,248.25683,0.9515618984854001,2.1943141015145997,1.5550353575207807,1.1580040198806871,0.15800401988068713,0.01239375774213917,1.972728899252403,2.028035664169695,279.34195,7.603680366665936,r1,deep,1037.4870532561044,203,160,8,48,0.9709343561935123,-0.0243891278087574,7.922356810026612
68,1.1365852,0.1437417,13.91996,139.30103,207.02937,0.9732105111571601,1.29995988884284,1.276552978727972,0.9867559106885346,0.013244089311465368,0.027695542245633666,1.2117220052794353,5.723174611350284,319.30102999999997,12.379076995090841,r4,deep,5474.8730641089105,176,57,69,48,0.9857273018610633,-0.004350596379160821,6.686652621096808
69,2.3576072,0.5676514,6.24493,226.5645,181.29566,1.01930817226992,3.6959062277300796,3.6946659722006583,1.0194025492918088,0.019402549291808846,0.02837584796947269,3.6199883571832476,1.381681085436235,46.56450000000001,4.143659735875964,r4,deep,2629.0218612691788,124,23,63,46,1.021719398781629,-0.015161810829584038,8.64991152913083
70,2.0150725,0.5332099,8.18219,306.75571,175.26452,0.94061589378225,3.0895291062177503,3.077529023419156,0.9417338641556218,0.05826613584437823,0.04169313244474046,2.8604608904356503,1.5375012208753485,126.75571000000002,5.243910185996456,r1,deep,1494.7407487363735,151,59,67,47,0.9422535576490045,-0.0023289691052986463,9.244374163720385
71,1.5075512,0.4165127,16.69512,219.36124,140.29002,0.87963697929976,2.13546542070024,1.8335058515555176,0.9436531711428383,0.05634682885716169,0.03885758555348625,1.8510071916042348,2.175078201295689,39.36124000000001,8.103696229834616,r8,tail,3953.40345315102,383,41,323,48,0.9163868733140885,0.0431547816009634,18.947066557319545
72,2.4449438,0.7906999,1.97391,195.43379,286.41433,0.5117269818343799,4.378160618165619,0.7489959882190385,1.180006689137767,0.18000668913776696,0.006581520565465499,3.8229914011349773,1.3542341643683193,15.433789999999988,3.9236290187696397,r1,deep,3199.026661395481,140,71,46,48,0.9943152371301367,-0.006372403318458623,22.917355548680955
73,1.9672729,0.6076793,2.66375,181.16134,89.3949,0.7718018812190299,3.16274391878097,1.232897695848404,1.2488243307848332,0.23289769584840392,0.017769840470257578,2.75928724957336,1.5684120090351974,181.16134,5.436186465297984,r4,deep,2415.2739826374627,201,78,42,48,1.002689592134588,0.017757102404769753,14.721479560662988
74,1.84152,0.5061514,5.40987,294.72295,173.52039,0.909432073872,2.7736079261280002,2.755567069323088,0.911388551740025,0.08861144825997502,0.04793421306127967,2.4989908148930455,1.6671154953483496,114.72295000000003,6.002423022367926,r3,deep,3470.7072459612696,207,136,39,48,0.9152703745655386,0.026179273203784287,6.813874841485781
75,2.4337077,0.6170326,9.6898,107.56402,237.79733,0.9320307102289799,3.9353846897710194,2.2455054314835965,1.1341768061099984,0.13417680610999838,0.04896960592026679,3.7966680207882697,1.3575683608375297,287.56402,3.9508326558627265,r9,tail,1679.0278659604353,227,11,206,45,1.1052248013589157,-0.012674545751586616,19.68282446526555
76,1.4421372,0.4840079,4.09944,213.60445,103.10746,0.7441314023161201,2.14014299768388,1.2404518534353044,0.9950750527125487,0.004924947287451298,0.002726569731174161,1.7318483870295673,2.366403230126405,33.60445000000004,8.661266258836726,r4,deep,3387.247625998946,199,76,60,48,1.1793392249503234,-0.0297482662414382,14.566625900364379
77,2.5924797,0.6179423,13.23278,1.27533,5.22298,0.9904768314786899,4.194482568521311,0.9920500141905859,4.16650233724508,0.007949985809414084,0.012333353835947473,4.174198009079636,1.3150402076806644,1.27533,3.5935046606251753,r2,deep,3445.2463498026927,137,89,20,48,0.9996362411310666,-0.02928407866234581,11.387420322382427
78,1.5658196,0.407978,36.0152,279.53942,130.68633,0.9269996512312001,2.2046395487688,1.7781174586771225,1.0309858663401834,0.03098586634018341,0.04397104025935791,1.959352554753583,2.0423696638373547,99.53942,7.655590089495899,r4,deep,4190.295698932988,129,48,37,46,1.0410380023322336,-0.02378968807604298,22.50452512521974
79,1.3084955,0.2126112,9.02376,264.506,184.85396,1.0302947015504,1.5866962984496,1.585161230122783,1.0309429725136623,0.030942972513662292,0.04666075890405037,1.496781304960453,3.012958197127821,84.50599999999997,10.02150411037925,r6,tail,1535.9781676249563,192,53,100,47,1.0338403037359682,0.01834776843278586,5.515731391549488
80,1.9312461,0.6206467,23.55872,115.78687,67.45131,0.73262458114713,3.1298676188528702,0.9590687743003387,1.55816682345399,0.040931225699661344,0.01601403051166594,2.6838388152263293,1.593881071606956,115.78687,5.58900926348479,r2,deep,1057.0618666929772,147,111,11,48,0.9787558602479597,-0.016844183246167183,20.781446262816115
81,0.8830647,0.6328224,17.0676,130.14228,309.26448,0.32424157719072,1.44188782280928,0.3780247345146011,0.8831379832334985,0.11686201676650154,0.04864483040959077,0.8298293413251446,4.876453718797067,310.14228,18.076005815902676,r3,deep,196.16507682590841,194,156,8,48,0.841331750775831,-0.014657324823399034,24.495402524241467
82,2.2435916,0.6253872,9.8289,168.05282,116.2708,0.8404781313324798,3.6467050686675195,1.8889828322854376,1.069937922450211,0.06993792245021102,0.022228544774208665,3.360591371776511,1.4236226616584766,348.05282,4.4635001226199496,r5,tail,4435.587275000629,139,25,80,47,1.064380734790887,0.002166241443416576,14.187633584298974
83,0.6618334,0.5330718,26.45905,155.74474,197.85461,0.30902867816188,1.0146381218381202,0.9617560225162155,0.31429205893557943,0.0382439774837845,0.02346675965136495,0.5384222773685335,1.1664823733237695,155.74474,27.85917416588051,r2,deep,1472.0704313333767,220,184,23,48,0.9630320881145611,0.0017243648185100379,16.14026586982295
84,1.9877259,0.4800069,6.69302,325.70748,173.06866,1.03360375269129,2.94184804730871,2.9221338350304613,1.0360595804127466,0.036059580412746595,0.047565197794579336,2.8024298157221277,1.5548066234131612,145.70747999999998,5.3524980057831755,r4,deep,1222.2203511860578,148,19,94,45,1.0361011781307308,-0.00012312560107558722,7.264058341006229
85,1.8451563,0.4660521,42.72023,338.02633,162.24225,0.98521733155677,2.70509526844323,2.597090228777657,1.0003692206150039,0.0003692206150038846,0.009983591088398414,2.5063962989808,1.6638359379112797,158.02632999999992,5.984688058348791,r2,deep,2514.719851032627,157,110,32,48,1.0027025439478734,-0.015526060022225058,25.97498917602763
