{'route': 'r9', 'ast': 184, 'ok': True, 'sec': 4.3, 'tank0': 902.8308305092615, 'tank': 901.8613866238742, 'dkg': 0.9694438853873635, 'dJ': 0.0009915492918282087}
{'route': 'r6', 'ast': 89, 'ok': True, 'sec': 2.6, 'tank0': 901.5475939376395, 'tank': 899.4582026171778, 'dkg': 2.0893913204616865, 'dJ': 0.0021331041548549035}
{'route': 'r6', 'ast': 228, 'ok': True, 'sec': 6.9, 'tank0': 901.5475939376395, 'tank': 890.8924472800154, 'dkg': 10.655146657624073, 'dJ': 0.01083150043147807}
{'route': 'r6', 'ast': 284, 'ok': True, 'sec': 2.6, 'tank0': 901.5475939376395, 'tank': 900.8596794726682, 'dkg': 0.6879144649712998, 'dJ': 0.0007027984327259151}
{'route': 'r6', 'ast': 34, 'ok': True, 'sec': 6.7, 'tank0': 901.5475939376395, 'tank': 892.8229533368084, 'dkg': 8.724640600831094, 'dJ': 0.00887763584176171}
{'route': 'r6', 'ast': 267, 'ok': True, 'sec': 2.7, 'tank0': 901.5475939376395, 'tank': 901.1318681140694, 'dkg': 0.4157258235700283, 'dJ': 0.00042477835138177156}
{'route': 'r6', 'ast': 7, 'ok': True, 'sec': 0.6, 'tank0': 901.5475939376395, 'tank': 901.5420138784646, 'dkg': 0.005580059174917551, 'dJ': 5.702733951507e-06}
{'route': 'r6', 'ast': 98, 'ok': True, 'sec': 1.6, 'tank0': 901.5475939376395, 'tank': 900.7520986179136, 'dkg': 0.7954953197258874, 'dJ': 0.0008126632827127889}
{'route': 'r6', 'ast': 263, 'ok': True, 'sec': 6.6, 'tank0': 901.5475939376395, 'tank': 897.2360308237315, 'dkg': 4.311563113907937, 'dJ': 0.004396878443471808}
{'route': 'r6', 'ast': 100, 'ok': True, 'sec': 4.5, 'tank0': 901.5475939376395, 'tank': 896.5481130561438, 'dkg': 4.999480881495629, 'dJ': 0.005096653717609367}
{'route': 'r6', 'ast': 25, 'ok': True, 'sec': 4.1, 'tank0': 901.5475939376395, 'tank': 900.2420065520525, 'dkg': 1.3055873855869322, 'dJ': 0.001333424107652581}
{'route': 'r6', 'ast': 166, 'ok': True, 'sec': 5.5, 'tank0': 901.5475939376395, 'tank': 899.3726451043153, 'dkg': 2.1749488333241516, 'dJ': 0.002220356703815929}
{'route': 'r6', 'ast': 40, 'ok': True, 'sec': 5.2, 'tank0': 901.5475939376395, 'tank': 896.9460544573947, 'dkg': 4.60153948024481, 'dJ': 0.004691911951075767}
{'route': 'r6', 'ast': 256, 'ok': True, 'sec': 5.1, 'tank0': 901.5475939376395, 'tank': 898.3273229715218, 'dkg': 3.2202709661177096, 'dJ': 0.003285785270811248}
{'route': 'r6', 'ast': 170, 'ok': True, 'sec': 5.6, 'tank0': 901.5475939376395, 'tank': 886.2172474702111, 'dkg': 15.330346467428399, 'dJ': 0.015547512099262972}
{'route': 'r6', 'ast': 53, 'ok': True, 'sec': 1.3, 'tank0': 901.5475939376395, 'tank': 900.5185009306612, 'dkg': 1.0290930069783144, 'dJ': 0.0010511797029273406}
{'route': 'r4', 'ast': 136, 'ok': True, 'sec': 7.0, 'tank0': 913.1170781691238, 'tank': 911.353627771688, 'dkg': 1.763450397435804, 'dJ': 0.0018214559545861597}
{'route': 'r4', 'ast': 185, 'ok': True, 'sec': 7.0, 'tank0': 913.1170781691238, 'tank': 908.4525439898388, 'dkg': 4.664534179285056, 'dJ': 0.004811061529778282}
{'route': 'r4', 'ast': 152, 'ok': True, 'sec': 7.0, 'tank0': 913.1170781691238, 'tank': 905.3454485303057, 'dkg': 7.771629638818126, 'dJ': 0.008003440406806783}
{'route': 'r4', 'ast': 16, 'ok': True, 'sec': 6.9, 'tank0': 913.1170781691238, 'tank': 900.4879867609703, 'dkg': 12.6290914081535, 'dJ': 0.012974491033124202}
{'route': 'r4', 'ast': 289, 'ok': True, 'sec': 6.9, 'tank0': 913.1170781691238, 'tank': 909.9400217259612, 'dkg': 3.1770564431626553, 'dJ': 0.0032792686704632423}
{'route': 'r4', 'ast': 295, 'ok': True, 'sec': 1.0, 'tank0': 913.1170781691238, 'tank': 913.1170781691238, 'dkg': 0.0, 'dJ': 0.0}
{'route': 'r4', 'ast': 84, 'ok': True, 'sec': 1.7, 'tank0': 913.1170781691238, 'tank': 912.6562318856697, 'dkg': 0.46084628345408873, 'dJ': 0.0004763112760508559}
{'route': 'r4', 'ast': 140, 'ok': True, 'sec': 7.0, 'tank0': 913.1170781691238, 'tank': 905.8136296672325, 'dkg': 7.303448501891353, 'dJ': 0.0075230390069236375}
{'route': 'r4', 'ast': 235, 'ok': True, 'sec': 6.9, 'tank0': 913.1170781691238, 'tank': 903.0682333891161, 'dkg': 10.048844780007698, 'dJ': 0.010336904716112594}
{'route': 'r4', 'ast': 259, 'ok': True, 'sec': 0.6, 'tank0': 913.1170781691238, 'tank': 913.1156697793394, 'dkg': 0.0014083897843875093, 'dJ': 1.4559823995341503e-06}
{'route': 'r4', 'ast': 27, 'ok': True, 'sec': 0.6, 'tank0': 913.1170781691238, 'tank': 913.1166588751915, 'dkg': 0.0004192939322820166, 'dJ': 4.334630161473285e-07}
{'route': 'r4', 'ast': 282, 'ok': True, 'sec': 0.6, 'tank0': 913.1170781691238, 'tank': 913.1158318566698, 'dkg': 0.0012463124539863202, 'dJ': 1.2884282196701236e-06}
{'route': 'r4', 'ast': 113, 'ok': True, 'sec': 0.6, 'tank0': 913.1170781691238, 'tank': 913.1166654417043, 'dkg': 0.0004127274195298014, 'dJ': 4.2667460453671424e-07}
{'route': 'r4', 'ast': 163, 'ok': True, 'sec': 6.0, 'tank0': 913.1170781691238, 'tank': 904.7985133559943, 'dkg': 8.31856481312957, 'dJ': 0.008564368181391169}
{'route': 'r4', 'ast': 146, 'ok': True, 'sec': 4.5, 'tank0': 913.1170781691238, 'tank': 907.3288727070249, 'dkg': 5.788205462098972, 'dJ': 0.005966712392212914}
{'route': 'r4', 'ast': 73, 'ok': True, 'sec': 1.7, 'tank0': 913.1170781691238, 'tank': 912.4381923321895, 'dkg': 0.6788858369343416, 'dJ': 0.0007015922372812788}
{'route': 'r4', 'ast': 88, 'ok': True, 'sec': 6.9, 'tank0': 913.1170781691238, 'tank': 902.2588514785099, 'dkg': 10.858226690613947, 'dJ': 0.011165004444347426}
{'route': 'r4', 'ast': 69, 'ok': True, 'sec': 3.6, 'tank0': 913.1170781691238, 'tank': 906.8038129666453, 'dkg': 6.313265202478533, 'dJ': 0.006506273609064861}
{'route': 'r4', 'ast': 190, 'ok': True, 'sec': 3.5, 'tank0': 913.1170781691238, 'tank': 907.5677304567348, 'dkg': 5.549347712389022, 'dJ': 0.005721164602146445}
{'route': 'r4', 'ast': 244, 'ok': True, 'sec': 7.0, 'tank0': 913.1170781691238, 'tank': 900.3237773543385, 'dkg': 12.793300814785312, 'dJ': 0.013142119661984974}
{'route': 'r4', 'ast': 299, 'ok': True, 'sec': 2.4, 'tank0': 913.1170781691238, 'tank': 903.7256311254281, 'dkg': 9.391447043695734, 'dJ': 0.009663811989695903}
{'route': 'r4', 'ast': 106, 'ok': True, 'sec': 3.9, 'tank0': 913.1170781691238, 'tank': 895.9357289396057, 'dkg': 17.181349229518105, 'dJ': 0.01761134586708102}
{'route': 'r4', 'ast': 290, 'ok': True, 'sec': 6.8, 'tank0': 913.1170781691238, 'tank': 911.4337266672684, 'dkg': 1.6833515018554408, 'dJ': 0.0017387911417878765}
{'route': 'r4', 'ast': 109, 'ok': True, 'sec': 6.8, 'tank0': 913.1170781691238, 'tank': 910.6238338100759, 'dkg': 2.493244359047935, 'dJ': 0.0025743268433504607}
{'route': 'r4', 'ast': 76, 'ok': True, 'sec': 5.5, 'tank0': 913.1170781691238, 'tank': 908.4335855702651, 'dkg': 4.68349259885872, 'dJ': 0.004830570189715111}
{'route': 'r4', 'ast': 236, 'ok': True, 'sec': 2.6, 'tank0': 913.1170781691238, 'tank': 907.7519276534632, 'dkg': 5.365150515660616, 'dJ': 0.0055317685656488536}
{'route': 'r4', 'ast': 122, 'ok': True, 'sec': 0.6, 'tank0': 913.1170781691238, 'tank': 912.8121622137373, 'dkg': 0.3049159553864911, 'dJ': 0.00031517252544754903}
{'route': 'r4', 'ast': 24, 'ok': True, 'sec': 0.6, 'tank0': 913.1170781691238, 'tank': 913.1168297667183, 'dkg': 0.0002484024055320333, 'dJ': 2.5679662107869206e-07}
{'route': 'r4', 'ast': 181, 'ok': True, 'sec': 1.1, 'tank0': 913.1170781691238, 'tank': 913.0560827338327, 'dkg': 0.06099543529114726, 'dJ': 6.305475200241162e-05}
{'route': 'r4', 'ast': 78, 'ok': True, 'sec': 0.6, 'tank0': 913.1170781691238, 'tank': 913.11646073771, 'dkg': 0.0006174314138434056, 'dJ': 6.382960404671678e-07}
{'route': 'r4', 'ast': 202, 'ok': True, 'sec': 2.1, 'tank0': 913.1170781691238, 'tank': 912.125793750309, 'dkg': 0.9912844188148711, 'dJ': 0.00102428148125}
{'route': 'r4', 'ast': 232, 'ok': True, 'sec': 2.3, 'tank0': 913.1170781691238, 'tank': 911.8511304539807, 'dkg': 1.2659477151431702, 'dJ': 0.001307910141298052}
{'route': 'r4', 'ast': 178, 'ok': True, 'sec': 1.0, 'tank0': 913.1170781691238, 'tank': 912.8821148730209, 'dkg': 0.23496329610293287, 'dJ': 0.00024287522872401546}
{'route': 'r4', 'ast': 112, 'ok': True, 'sec': 3.1, 'tank0': 913.1170781691238, 'tank': 911.0931147946438, 'dkg': 2.0239633744799903, 'dJ': 0.0020902690269428703}
{'route': 'r4', 'ast': 37, 'ok': True, 'sec': 0.6, 'tank0': 913.1170781691238, 'tank': 913.1081881161069, 'dkg': 0.008890053016898491, 'dJ': 9.190433694739042e-06}
{'route': 'r4', 'ast': 227, 'ok': True, 'sec': 5.2, 'tank0': 913.1170781691238, 'tank': 905.5376738173787, 'dkg': 7.579404351745097, 'dJ': 0.007806224801978567}
{'route': 'r4', 'ast': 149, 'ok': True, 'sec': 2.5, 'tank0': 913.1170781691238, 'tank': 904.940634761654, 'dkg': 8.176443407469833, 'dJ': 0.008418640144278955}
{'route': 'r4', 'ast': 68, 'ok': True, 'sec': 1.5, 'tank0': 913.1170781691238, 'tank': 908.8313343984862, 'dkg': 4.285743770637623, 'dJ': 0.004421200415159587}
{'route': 'r1', 'ast': 174, 'ok': True, 'sec': 4.2, 'tank0': 944.3802538593361, 'tank': 942.8367353355228, 'dkg': 1.5435185238133045, 'dJ': 0.0016437031051224071}
