id,a,e,i,q,Q,P_yr,U_opik,node_gap_AU,r_asc,r_desc,n_routes,n_routes_first3,n_routes_ge20,n_routes_ge28,n_leaf_routes,max_route_len,min_cost_per_target,min_leg_index,min_dv_est,median_dv_est,t_flyby_min_yr,t_flyby_max_yr
45,1.5062784,0.4303842,37.98278,0.85799997583872,2.15455682416128,1.8486635253240153,0.7679524039926416,0.01646373957471725,1.6316023396757184,0.9835362604252827,20441,7582,8576,2670,20441,37,0.0397,1,0.0,0.808,1.33,14.81
46,2.1965633,0.5440374,13.53118,1.00155071333258,3.3915758866674204,3.25548414638974,0.35590253081339024,0.0343018276967757,3.0631238627643556,1.0343018276967757,20111,27,15053,5336,20111,36,0.0408,2,0.061,0.273,3.27,13.13
47,2.8487174,0.6529252,1.99822,0.98871802186152,4.70871677813848,4.8081062080279215,0.3061743812383289,0.2924382472851246,1.2924382472851246,2.2219682228682185,32245,15670,11658,3927,32245,37,0.0394,1,0.0,0.456,1.89,11.93
48,2.6346507,0.8696748,5.9548,0.34336137940764005,4.92594002059236,4.276461508533989,1.0132246174631279,0.20162663851288598,0.4379846307048572,1.201626638512886,20993,16266,3182,206,20992,37,0.0397,1,0.0,0.539,1.53,14.67
49,1.0779942,0.8270189,22.80162,0.18647262250962,1.9695157774903802,1.1192436427548702,0.998101859857094,0.15710856193719014,0.1997509747976292,1.1571085619371901,19677,571,9550,2888,19677,37,0.0393,1,0.0,0.625,2.22,14.65
50,1.8662592,0.5078643,10.61149,0.9184527777734399,2.8140656222265603,2.5495171780363886,0.38830696966933237,0.11506915967135845,1.1150691596713584,1.8270179943545426,6491,31,3953,640,6491,37,0.0396,2,0.062,0.631,2.29,15.0
51,2.0361805,0.4927933,10.029,1.0327643920093499,3.03959660799065,2.9055236245451606,0.25203712656954824,0.044769333990083426,1.0447693339900834,2.9401646490381586,6829,62,3418,1060,6829,35,0.0415,2,0.022,0.745,1.88,13.6
52,1.7352089,0.5283516,42.36114,0.8184085013507599,2.65200929864924,2.2857443230069947,0.8780106764044188,0.015024538845674673,0.9849754611543253,1.713201338213516,25185,50,16462,6640,25185,38,0.0384,3,0.056,0.735,2.27,14.2
53,2.31463,0.6050551,29.53092,0.9141513138870002,3.715108686113,3.5214568130206922,0.6782880824440668,0.023445310273768616,2.5907396559277784,1.0234453102737686,4890,14,1690,196,4890,37,0.0396,2,0.036,1.02,4.26,14.88
54,1.319908,0.3266154,17.99169,0.8888057206168001,1.7510102793832003,1.5164059915196397,0.4205183326452863,0.029752284405064833,0.9702477155949352,1.5025403813851843,11197,24,6634,2099,11197,35,0.0413,1,0.0,0.829,0.96,14.7
55,1.7074001,0.4367044,22.71515,0.9617709637695601,2.45302923623044,2.231017381328187,0.4956637563839509,0.010681601529820561,0.9893183984701794,2.290368930887613,16374,6757,11519,5286,16374,37,0.0396,2,0.055,0.377,2.49,13.7
56,1.348659,0.3295322,33.46935,0.9042324326801999,1.7930855673198,1.5662216839025551,0.655167623499855,0.01671447757754818,0.9832855224224518,1.5465282009090902,16303,45,10586,3547,16303,37,0.0397,1,0.0,0.68,1.44,14.46
57,1.4229631,0.2897508,55.89453,1.01065840340452,1.83526779659548,1.6974244646441157,1.0084088300082452,0.012080374623797407,1.8305972934221597,1.0120803746237974,12413,144,6283,1708,12413,37,0.0391,1,0.0,0.575,0.59,14.18
58,3.0280445,0.727252,20.16655,0.825893081286,5.230195918714,5.269184187580908,0.6537983897035693,0.0036978526965247838,2.5106934754305317,0.9963021473034752,8915,2790,3810,1228,8915,37,0.0396,2,0.052,0.773,3.18,13.85
59,1.6359485,0.5001928,7.40973,0.8176588391292,2.4542381608708,2.09244688113823,0.4383496255521116,0.07828574465033267,1.4223447673867373,1.0782857446503327,13932,2622,5607,785,13932,38,0.0386,1,0.0,0.847,1.93,14.99
60,0.6423893,0.6883841,38.87863,0.20017871986987,1.08459988013013,0.5148698343159638,0.7335949826772784,0.029367632874118144,1.0293676328741181,0.20218093510654225,15900,164,9810,3054,15900,38,0.0386,1,0.0,0.831,1.2,14.66
61,2.5262805,0.7117857,4.44104,0.7281101659111501,4.32445083408885,4.015340273390912,0.6148556811463424,0.17667144370386634,0.8233285562961337,2.5635778351576666,14787,4066,6268,1685,14787,35,0.0415,1,0.0,0.874,0.88,13.28
62,2.387441,0.605372,23.72574,0.9421510669479999,3.832730933052,3.6889177470026633,0.5738915303033731,0.010904300240641929,3.0021180902564675,1.010904300240642,13805,5121,4373,779,13805,36,0.0408,2,0.039,0.813,3.04,14.17
63,1.7840613,0.5082827,53.19536,0.87725380547049,2.69086879452951,2.3829485127777703,1.0301654483670133,0.023845571010667754,2.052881933602302,0.9761544289893322,25040,4057,12562,4885,25040,38,0.0384,1,0.0,0.862,1.94,13.88
64,3.6552163,0.7238267,44.12226,1.0094731477847898,6.300959452215211,6.988269139017023,0.9124139426895229,0.027740446629518578,1.0277404466295186,5.67171786474638,6597,0,1537,15,6597,36,0.0403,5,0.105,0.98,7.35,14.39
65,1.2705255,0.5851656,5.05883,0.5270576834772001,2.0139933165227997,1.4321057185583643,0.6260671306193859,0.05923829622216925,0.9407617037778307,0.7513808102363959,21307,1404,10991,2672,21307,38,0.0386,1,0.0,0.562,1.26,14.26
66,1.8432235,0.5812927,38.56598,0.7717711349815499,2.91467586501845,2.5024591577789344,0.8543644906633954,0.0690828207970744,1.4216035190160303,1.0690828207970744,16689,220,7281,2142,16689,37,0.0397,2,0.025,0.976,2.93,14.99
67,1.572938,0.3950417,1.43938,0.9515618984854001,2.1943141015145997,1.972728899252403,0.24628789111461824,0.15800401988068713,1.5550353575207807,1.1580040198806871,25567,4044,12995,3845,25567,37,0.0395,1,0.0,0.418,0.48,14.95
68,1.1365852,0.1437417,13.91996,0.9732105111571601,1.29995988884284,1.2117220052794353,0.2684513820553786,0.013244089311465368,1.276552978727972,0.9867559106885346,25496,9525,10663,4617,25496,38,0.0384,1,0.0,0.639,1.6,15.0
69,2.3576072,0.5676514,6.24493,1.01930817226992,3.6959062277300796,3.6199883571832476,0.25033237973096756,0.019402549291808846,3.6946659722006583,1.0194025492918088,10099,17,2377,760,10099,37,0.0392,2,0.058,1.019,3.46,14.7
70,2.0150725,0.5332099,8.18219,0.94061589378225,3.0895291062177503,2.8604608904356503,0.355511416806674,0.05826613584437823,3.077529023419156,0.9417338641556218,20247,5321,5178,998,20247,37,0.0392,1,0.0,0.622,1.14,12.84
71,1.5075512,0.4165127,16.69512,0.87963697929976,2.13546542070024,1.8510071916042348,0.4452828081997054,0.05634682885716169,1.8335058515555176,0.9436531711428383,17740,4042,8018,2789,17740,38,0.0386,2,0.054,0.718,1.53,14.59
72,2.4449438,0.7906999,1.97391,0.5117269818343799,4.378160618165619,3.8229914011349773,0.8231681616382446,0.18000668913776696,0.7489959882190385,1.180006689137767,16895,7568,10463,2861,16895,37,0.0394,1,0.0,0.564,0.97,12.87
73,1.9672729,0.6076793,2.66375,0.7718018812190299,3.16274391878097,2.75928724957336,0.516000378899239,0.23289769584840392,1.232897695848404,1.2488243307848332,15072,352,6468,1404,15072,38,0.0386,1,0.0,0.881,1.08,14.99
74,1.84152,0.5061514,5.40987,0.909432073872,2.7736079261280002,2.4989908148930455,0.355916599558467,0.08861144825997502,2.755567069323088,0.911388551740025,25031,1136,13793,5766,25031,38,0.0384,1,0.0,0.542,1.89,14.66
75,2.4337077,0.6170326,9.6898,0.9320307102289799,3.9353846897710194,3.7966680207882697,0.4108933693547011,0.13417680610999838,2.2455054314835965,1.1341768061099984,19940,299,6690,290,19940,37,0.0396,1,0.0,1.073,4.52,12.62
76,1.4421372,0.4840079,4.09944,0.7441314023161201,2.14014299768388,1.7318483870295673,0.45853172984199525,0.004924947287451298,1.2404518534353044,0.9950750527125487,24265,72,17708,7240,24265,38,0.0384,1,0.032,0.66,0.47,14.47
77,2.5924797,0.6179423,13.23278,0.9904768314786899,4.194482568521311,4.174198009079636,0.38687046389264346,0.007949985809414084,0.9920500141905859,4.16650233724508,7781,0,3297,1095,7781,38,0.0386,4,0.056,0.724,5.24,13.69
78,1.5658196,0.407978,36.0152,0.9269996512312001,2.2046395487688,1.959352554753583,0.7163714463366323,0.03098586634018341,1.7781174586771225,1.0309858663401834,13421,18,8080,2506,13421,38,0.0386,3,0.091,0.316,1.66,13.46
79,1.3084955,0.2126112,9.02376,1.0302947015504,1.5866962984496,1.496781304960453,0.16717504210405207,0.030942972513662292,1.585161230122783,1.0309429725136623,12857,2047,7614,2165,12857,37,0.0394,2,0.068,0.862,1.23,14.81
80,1.9312461,0.6206467,23.55872,0.73262458114713,3.1298676188528702,2.6838388152263293,0.6960976300362418,0.040931225699661344,0.9590687743003387,1.55816682345399,16162,568,8724,2871,16162,37,0.0395,1,0.0,0.442,0.55,14.07
81,0.8830647,0.6328224,17.0676,0.32424157719072,1.44188782280928,0.8298293413251446,0.6902410709975457,0.11686201676650154,0.3780247345146011,0.8831379832334985,40407,29150,17563,5535,40407,37,0.0394,1,0.0,0.0,0.51,14.65
82,2.2435916,0.6253872,9.8289,0.8404781313324798,3.6467050686675195,3.360591371776511,0.5009890354796115,0.06993792245021102,1.8889828322854376,1.069937922450211,14680,70,7615,1750,14680,37,0.0397,3,0.046,0.711,1.74,12.18
83,0.6618334,0.5330718,26.45905,0.30902867816188,1.0146381218381202,0.5384222773685335,0.5065888456701664,0.0382439774837845,0.9617560225162155,0.31429205893557943,20419,284,13697,5902,20419,38,0.0384,2,0.022,0.809,1.33,14.83
84,1.9877259,0.4800069,6.69302,1.03360375269129,2.94184804730871,2.8024298157221277,0.2002925641753145,0.036059580412746595,2.9221338350304613,1.0360595804127466,13066,117,8605,2451,13066,38,0.0386,1,0.0,0.648,3.27,14.65
85,1.8451563,0.4660521,42.72023,0.98521733155677,2.70509526844323,2.5063962989808,0.8319499690258211,0.0003692206150038846,2.597090228777657,1.0003692206150039,17041,898,8701,1690,17041,37,0.0393,1,0.0,0.836,1.86,14.43
86,1.9070776,0.6224092,55.85289,0.72009495664608,3.09406024335392,2.633616579788743,1.123479329002871,0.024706445231500784,0.9752935547684992,1.456508645370672,10672,268,2648,410,10672,34,0.0431,3,0.061,1.03,2.77,13.69
87,2.2201799,0.7775669,3.1187,0.49384149771469016,3.9465183022853103,3.3081275781067045,0.8237128884449433,0.3497671488868421,1.3505875301648675,0.6502328511131579,11923,17,7135,1586,11923,37,0.0397,2,0.025,0.981,1.05,14.29
88,2.6003283,0.6340735,17.09388,0.9515290336699501,4.24912756633005,4.193168105946425,0.481367704651443,0.004411584252184464,3.5479691822780124,0.9955884157478155,6481,922,1768,379,6481,34,0.0431,2,0.076,0.918,2.61,11.1
89,1.248516,0.3248821,15.31841,0.8428955000364,1.6541364999636,1.3950544810837504,0.4007756981272984,0.06330924718024933,1.3824690259325434,0.9366907528197507,24949,11505,10300,2557,24949,37,0.0396,1,0.0,1.087,1.3,14.33
90,2.1505803,0.5656677,20.05615,0.9340664880336901,3.3670941119663103,3.1537952505625024,0.5128899931850969,0.00758698347042408,0.9924130165295759,2.778282420359595,14403,7299,2851,342,14403,36,0.0408,2,0.02,1.03,2.85,12.36
91,2.6887981,0.6358411,0.83203,0.9791497584180899,4.39844644158191,4.408971473044718,0.3117071611787487,0.2417664833861639,1.241766483386164,2.255590713473663,10748,10,5735,1424,10748,37,0.0395,1,0.0,0.588,1.0,14.26
92,2.7985809,0.6752615,6.01513,0.9088069635946502,4.68835483640535,4.6817346872114145,0.4341418509413181,0.05295253533716704,0.947047464662833,3.880107296604314,6501,1,3557,610,6501,37,0.0394,3,0.089,0.894,5.43,14.99
93,1.9222931,0.5397498,22.76523,0.8847357837336202,2.9598504162663803,2.665197582062099,0.5721088110408429,0.021398983063794508,0.9786010169362055,2.2408012221550444,16906,12097,7343,947,16906,37,0.0391,1,0.0,0.476,1.42,14.81
94,2.7461899,0.6213942,24.8525,1.03972342404142,4.452656375958581,4.550884866160743,0.5287440707470362,0.03989362732514068,4.449537520533074,1.0398936273251407,9130,33,2533,412,9130,38,0.0386,1,0.0,1.321,1.26,14.98
95,1.6416873,0.8863572,9.90138,0.18656594149644007,3.09680865850356,2.1034667808624072,1.1054723554677053,0.0014826084115882043,1.0014826084115882,0.21347320718046342,12960,1424,5510,1100,12960,37,0.0394,1,0.0,0.627,2.2,14.88
96,2.2263691,0.5350316,10.84584,1.0351912782364399,3.41754692176356,3.321970325195748,0.2733530259342731,0.07362202787174965,3.0563646002762517,1.0736220278717497,9711,0,4052,106,9711,34,0.0432,4,0.022,0.839,5.46,12.25
97,2.2793664,0.6462927,8.02751,0.8062285350547198,3.75250426494528,3.441289529658399,0.5288666192572181,0.04114612238574944,2.1555439278278574,0.9588538776142506,15478,372,10764,3246,15478,36,0.0407,3,0.04,0.636,1.83,12.47
98,1.4421785,0.586574,5.52413,0.5962340885409999,2.2881229114590003,1.731922782708219,0.6086208843116004,0.21233878375550153,0.7755658766250579,1.2123387837555015,31409,2035,14544,4098,31409,38,0.0386,1,0.0,0.962,0.96,14.88
99,1.6984528,0.5075685,12.15584,0.8363716599832001,2.5605339400168003,2.213503553378276,0.4645403818851211,0.07288554222244548,1.9701763602032167,0.9271144577775545,23631,7703,7592,1676,23631,35,0.0419,1,0.0,0.679,2.12,13.31
100,2.5736093,0.7155058,5.01801,0.7321769189160602,4.41504168108394,4.128705690922636,0.6152686950415505,0.14025291791264505,1.140252917912645,1.3980341061482837,10657,47,7426,4122,10657,37,0.0396,2,0.078,0.553,3.55,12.2
101,2.4205161,0.5727372,12.87861,1.0341964863310802,3.80683571366892,3.7658408620154584,0.31674580008767805,0.0460662029704646,1.0460662029704646,3.65420728381194,25071,4190,12132,3465,25071,35,0.0419,2,0.037,0.846,2.22,13.63
102,1.1226786,0.2138661,26.06566,0.8825757062645401,1.3627814937354599,1.1895512743870384,0.4997204639141792,0.025358598461413306,1.1216143167868386,1.0253585984614133,16185,20,5946,874,16185,38,0.0384,1,0.017,0.796,1.01,14.87
103,0.9299484,0.4065044,4.69797,0.55192028362704,1.30797651637296,0.8967848799508191,0.41043712006723837,0.18183625766677058,0.7384726150747489,0.8181637423332294,10808,463,5942,2433,10808,37,0.0396,1,0.0,0.679,1.19,15.0
104,1.4519998,0.4078352,24.75984,0.85982317116704,2.04417642883296,1.7496445761976271,0.5595837671029197,0.057709318362530126,1.4148572988758814,1.0577093183625301,17832,403,10835,3011,17832,38,0.0386,1,0.0,0.526,2.16,14.88
105,1.1227045,0.1645913,37.1231,0.93791710682915,1.3074918931708501,1.1895924387358972,0.6653190329853128,0.032642424516803104,1.1592509664142636,1.032642424516803,14256,140,7323,1727,14256,37,0.0396,2,0.007,0.733,2.33,14.73
106,1.3706137,0.2691824,40.78349,1.00166861476112,1.73955878523888,1.6046214845753943,0.7502812531514608,0.04971497092894839,1.6114658397839938,1.0497149709289484,11118,283,6522,1623,11118,38,0.0386,2,0.029,0.662,1.65,14.52
107,1.6566052,0.4679086,6.62299,0.88146538011528,2.43174501988472,2.1322029033555694,0.36950524191284245,0.0953885414135317,2.2714116361774472,0.9046114585864683,17149,72,6059,963,17149,34,0.0426,2,0.048,0.83,2.18,15.0
108,2.4621481,0.6417744,19.57999,0.88200448041136,4.04229171958864,3.8634140846632126,0.5712426801053854,0.05492068047938026,1.0549206804793803,2.3082590292066882,23535,7632,4674,256,23535,33,0.0444,1,0.0,1.153,3.48,11.32
109,1.0630885,0.4831758,8.88522,0.5494298635417001,1.5767471364583001,1.096109975662679,0.5249503100778204,0.08960927483569758,1.0896092748356976,0.650819028605174,17874,198,10104,4575,17874,38,0.0386,2,0.032,0.75,1.37,14.92
110,2.9222508,0.7155033,13.85069,0.8313707091723601,5.0131308908276395,4.9954685519783215,0.5820309513827129,0.10832848116662963,1.9998024131302632,1.1083284811666296,8200,31,3049,260,8200,33,0.0441,2,0.039,1.0,2.31,12.42
111,2.1909924,0.5722836,30.25143,0.9371233817553599,3.4448614182446398,3.2431072169160324,0.668198063216209,0.04123979205367656,3.180974015546431,0.9587602079463234,14392,11603,8599,4208,14392,38,0.0384,2,0.102,0.737,1.63,14.65
112,1.0853129,0.186996,62.10129,0.8823637289516,1.2882620710483998,1.1306610919384725,1.0587171547063274,0.000893987164085619,1.1005164839712485,0.9991060128359144,15752,6996,8066,3570,15752,38,0.0386,1,0.0,0.442,0.75,14.78
113,1.833463,0.8651747,8.41081,0.24719719901390008,3.4197288009860998,2.4826084269846875,1.0541125595979781,0.06618001427441422,0.2941309510523873,1.0661800142744142,21773,1479,10035,2655,21773,35,0.042,1,0.0,0.715,3.16,13.18
114,2.501242,0.6462794,28.42255,0.8847408209852001,4.1177431790148,3.95579310267181,0.6909493697283177,0.03271017074736149,2.947160261169352,0.9672898292526385,26267,323,11396,3785,26267,38,0.0384,3,0.176,0.56,3.23,11.18
115,1.9014803,0.5951473,3.69008,0.7698194334518099,3.03314116654819,2.6220305380727122,0.5122575255045546,0.14243921465973175,0.8575607853402683,2.161699267856237,17862,1333,9112,3364,17862,37,0.039,2,0.05,0.54,1.19,14.66
