ID,a,e,i,Omega,omega,M,q,Q,period_yr,match_full_name,pdes,spkid,kind,sbdb_class,pha,H,diameter_km,moid_au,data_arc_d,n_obs,condition_code,first_obs,last_obs,soln_date,orbit_id,sbdb_epoch_jd,sbdb_a,sbdb_e,sbdb_i,sbdb_om,sbdb_w,sbdb_ma,match_dist,second_best,second_dist,dM_sbdb,hz_a,hz_e,hz_i,hz_om,hz_w,hz_ma,hz_da,hz_de,hz_di,hz_dom,hz_dw,hz_dM,hz_maxdev
11,2.4391983,0.6118902,39.51172,347.89802,162.3993,287.72364,0.9466767643733399,3.93171983562666,3.8095235529992837,137427 (1999 TF211),137427,20137427,an,APO,Y,15.28,,.0283304,9477,867,0,1999-10-06,2025-09-16,2026-08-11 06:19:06,JPL 169,2461200.5,2.439198328124649,0.6118901599784212,39.51171984254442,347.8980278225064,162.3992769828587,287.7236502609338,0.0012184871292066914,(2018 XE5),457.9233134662435,1.0260933834160824e-05,2.439198328204247,0.6118901599375883,39.51171984250148,347.8980278281061,162.3992769845812,287.7236502656954,2.820424693794621e-08,-4.006241172138658e-08,-1.574985191155065e-07,7.828106106444466e-06,-2.3015418804561705e-05,1.0265695436828537e-05,2.3015418804561705e-05
12,2.5430471,0.6246302,0.44808,125.36536,277.86165,125.51616,0.9545830813175799,4.13151111868242,4.055380474097104,4179 Toutatis (1989 AC),4179,20004179,an,APO,Y,15.29,5.4,.00650597,33698,7141,0,1934-02-10,2026-05-16,2026-06-16 11:32:22,JPL 726,2461200.5,2.543047155641573,0.6246302247178447,0.4480836624628189,125.3654799655549,277.8615384113277,125.5161576467994,0.008194418182570912,(2022 AR3),296.20324584270344,-2.353200613924855e-06,2.543047157469753,0.6246302245460388,0.4480836616277842,125.3654804270316,277.8615379441333,125.5161569645016,5.7469752956507136e-08,2.45460387571228e-08,3.6616277842016487e-06,0.00012042703161796453,-0.0001120558666798388,-3.035498394865499e-06,0.00012042703161796453
13,2.1785708,0.7108614,2.52172,74.85241,98.3819,158.2996,0.62990891111288,3.72723268888712,3.2155666632068702,2201 Oljato (1947 XC),2201,20002201,an,APO,Y,15.32,1.80,.00270585,34275,1880,0,1931-12-03,2025-10-05,2026-08-08 17:18:31,JPL 356,2461200.5,2.178570754328033,0.7108613720001856,2.521727702463323,74.8524478280846,98.38185934486657,158.2996003515678,0.0028041132979011846,(2023 XP13),336.75084331276366,3.51567791767593e-07,2.178570754428917,0.7108613719556393,2.521727702841239,74.85244778232949,98.381859382583,158.2996002798055,-4.557108335134785e-08,-2.8044360722567774e-08,7.70284123863263e-06,3.778232948548066e-05,-4.061741699956656e-05,2.798055049879622e-07,4.061741699956656e-05
14,2.136714,0.574076,8.85374,226.433,31.25146,317.0831,0.910077773736,3.363350226264,3.1233423746955378,90075 (2002 VU94),90075,20090075,an,APO,Y,15.38,2.233,.0261362,25753,3624,0,1955-10-25,2026-04-28,2026-04-28 06:20:43,618,2461200.5,2.136714019549971,0.5740759617542821,8.853744331137095,226.432991533423,31.25148035036831,317.0830890214978,0.001125913430814541,(2015 JR),147.88437202555528,-1.0978502189118444e-05,2.136714019892276,0.5740759617748208,8.853744328369496,226.4329915283017,31.25148036727749,317.0830889384252,1.989227582654962e-08,-3.822517924412239e-08,4.328369495709694e-06,-8.471698293988084e-06,2.036727750009959e-05,-1.1061574809900776e-05,2.036727750009959e-05
15,2.7243079,0.6415852,13.83947,133.6246,166.78307,0.37394,0.9764322711169201,4.47218352888308,4.496600295259262,53319 (1999 JM8),53319,20053319,an,APO,Y,15.35,7.,.0256044,10000,1673,0,1999-04-10,2026-08-26,2026-08-26 08:48:33,JPL 329,2461200.5,2.724307859024511,0.6415851993802804,13.83947331984248,133.6245953644687,166.783072693664,0.3739402209455865,0.00031795259445043027,(2026 OR1),351.11705612580647,2.2094559426477645e-07,2.724307857719097,0.6415851994797768,13.83947332616411,133.6245953619492,166.7830726985225,0.3739404945311492,-4.228090277891283e-08,-5.202231978529426e-10,3.3261641103621287e-06,-4.638050796756943e-06,2.698522479249732e-06,4.945311502524419e-07,4.638050796756943e-06
16,2.2620457,0.5935572,23.15184,235.51959,140.00618,133.16977,0.9193921880359599,3.6046992119640398,3.402139067419935,159857 (2004 LJ1),159857,20159857,an,APO,Y,15.46,3.070,.0148973,11390,3315,0,1995-02-03,2026-04-11,2026-05-27 06:17:13,408,2461200.5,2.262045735694703,0.5935571636815873,23.15182986183645,235.5195907980197,140.0061825395738,133.1697743294142,0.0005303034952956204,(2011 WE32),395.89017623780853,4.329414196035941e-06,2.262045735539722,0.5935571636569469,23.15182986346417,235.5195908011073,140.006182543256,133.1697745072811,3.553972227621216e-08,-3.6343053122500635e-08,-1.013653583115115e-05,8.011073191482865e-07,2.5432559880300687e-06,4.5072810905821825e-06,4.5072810905821825e-06
17,2.2301886,0.5419751,39.65677,267.12483,5.0141,305.534,1.02148191049614,3.4388952895038605,3.3305226173664906,242216 (2003 RN10),242216,20242216,an,AMO,Y,15.58,,.00677491,8201,1141,0,2003-09-13,2026-02-25,2026-02-25 05:56:27,201,2461200.5,2.230188590630848,0.5419750837999958,39.65677037370256,267.1248451821052,5.014083905523096,305.533995772274,0.0011069362862323572,(2014 MX17),736.1671292534372,-4.227725980854302e-06,2.230188591256616,0.5419750838390635,39.65677036956871,267.1248451837342,5.014083911817238,305.5339955669953,-8.74338379475148e-09,-1.616093658896034e-08,3.695687098570488e-07,1.5183734205947985e-05,-1.6088182775320092e-05,-4.433004676229757e-06,1.6088182775320092e-05
18,2.2052447,0.6598497,3.02961,82.16378,169.30021,336.40315,0.7501146462784101,3.6603747537215905,3.274803006848003,4486 Mithra (1987 SB),4486,20004486,an,APO,Y,15.62,1.849,.0458128,14311,2070,0,1987-01-29,2026-04-05,2026-04-10 06:55:00,409,2461200.5,2.205244726339535,0.6598497281232912,3.029603411273411,82.1637683090684,169.3002221341814,336.4031483600793,0.0009067394036106511,517829 (2015 RL82),316.454526364131,-1.6399206970163505e-06,2.205244726977166,0.6598497280802946,3.029603413838537,82.16376830440653,169.3002221458252,336.4031481442418,2.6977165834551897e-08,2.8080294645072e-08,-6.586161462873719e-06,-1.1695593457261566e-05,1.2145825195375437e-05,-1.8557581711320381e-06,1.2145825195375437e-05
19,1.9236716,0.6388452,10.7844,40.94164,103.1481,101.26122,0.69474323196368,3.15259996803632,2.6680649648649353,85713 (1998 SS49),85713,20085713,an,APO,Y,15.77,3.484,.004487,10179,1512,0,1998-09-29,2026-08-12,2026-08-13 06:51:30,JPL 292,2461200.5,1.92367160115255,0.6388452368600445,10.78439576893662,40.9416324119034,103.1480997867201,101.2612214185743,0.000440740818175708,(2023 VE7),336.13783134416644,1.4185742998051865e-06,1.92367160103365,0.6388452368410215,10.78439577010355,40.94163240786258,103.148099793235,101.2612215373507,1.0336500544383398e-09,3.6841021455735756e-08,-4.229896449103876e-06,-7.592137421852385e-06,-2.067649802484084e-07,1.5373507267213427e-06,7.592137421852385e-06
20,1.961768,0.4930609,5.31181,168.07244,147.23365,266.59627,0.9944969043287999,2.9290390956712002,2.7477136371484523,12923 Zephyr (1999 GK4),12923,20012923,an,APO,Y,15.80,2.060,.0196294,25930,3011,0,1955-04-21,2026-04-18,2026-06-27 06:19:59,JPL 527,2461200.5,1.961768020564558,0.4930608984502026,5.311806198807854,168.0723946284252,147.2336955486166,266.5962649097501,0.003220201211719225,(2024 RS25),95.82195810663794,-5.090249885597586e-06,1.961768020323416,0.4930608985125563,5.311806199636615,168.0723946161477,147.2336955669724,266.5962650809365,2.032341606117427e-08,-1.487443723746651e-09,-3.8003633857641717e-06,-4.538385229579944e-05,4.5566972374899706e-05,-4.919063485431252e-06,4.5566972374899706e-05
21,1.7597807,0.5788447,7.13333,311.6149,120.82624,110.65203,0.7411409686427101,2.77842043135729,2.334467464514723,86039 (1999 NC43),86039,20086039,an,APO,Y,15.94,2.22,.0248171,9859,1822,0,1999-06-11,2026-06-08,2026-06-09 06:50:12,JPL 354,2461200.5,1.759780688401486,0.578844727082651,7.133321005180862,311.614900917239,120.8262429651626,110.6520335181073,0.000478977165912906,(2017 BC6),261.0327663564487,3.5181072917112033e-06,1.759780688295516,0.5788447270325342,7.133321006709441,311.6149008984518,120.8262429790825,110.6520335623864,-1.1704484048635777e-08,2.7032534211102188e-08,-8.99329055936704e-06,8.984518444776768e-07,2.979082495357943e-06,3.562386410749241e-06,3.562386410749241e-06
22,2.1223157,0.653834,34.88704,275.31036,284.97994,241.5195,0.7346735366061999,3.5099578633938004,3.091825539053706,415029 (2011 UL21),415029,20415029,an,APO,Y,15.93,,.0165723,12734,2113,0,1989-10-29,2024-09-09,2025-10-21 08:34:03,372,2461200.5,2.122315679584494,0.6538340370565823,34.88704303716548,275.3103584584288,284.9799323868226,241.519497200173,0.0004240433569892301,17188 (1999 WC2),416.3658619194509,-2.7998270013540605e-06,2.122315679303367,0.653834037098863,34.88704303928083,275.3103584623506,284.9799323865697,241.519497327005,-2.0696633296068967e-08,3.7098862981643776e-08,3.039280834116198e-06,-1.5376493820440373e-06,-7.6134302844366175e-06,-2.6729949809123354e-06,7.6134302844366175e-06
23,2.8902616,0.8954152,24.285,126.52941,302.96204,171.66312,0.30227743138368013,5.47824576861632,4.913667095095631,533671 Nabu (2014 LJ21),533671,20533671,an,APO,Y,15.93,,.0270039,6977,836,0,2005-05-12,2024-06-18,2026-09-03 06:19:27,JPL 109,2461200.5,2.890261569827199,0.8954152740170674,24.28501139109862,126.5294636781091,302.9619753931048,171.6631237070023,0.004240954265655034,(2025 OZ509),573.3104311260665,3.707002321107211e-06,2.890261569518949,0.8954152740429128,24.28501139253604,126.5294636766689,302.9619753930318,171.6631237316365,-3.0481051016550964e-08,7.404291280099784e-08,1.1392536038101753e-05,5.367666889810607e-05,-6.460696818066936e-05,3.7316364966955007e-06,6.460696818066936e-05
24,1.2900749,0.2993525,64.00427,94.35212,61.50561,121.87829,0.90388775349775,1.67626204650225,1.4652859601392347,2102 Tantalus (1975 YA),2102,20002102,an,APO,Y,15.99,1.649,.0425508,18481,2349,0,1976-01-02,2026-08-08,2026-08-08 06:20:44,JPL 303,2461200.5,1.290074865084854,0.2993525411875109,64.00427834487186,94.35212565291198,61.5056053649752,121.8783009130551,0.0005618666201385334,(2019 XQ3),859.0529085143586,1.0913055092487411e-05,1.290074865067413,0.2993525411822602,64.00427834456009,94.35212565155497,61.50560536328128,121.8783009293412,-3.4932587045233277e-08,4.118226015759063e-08,8.344560086470665e-06,5.65155497156411e-06,-4.636718699657649e-06,1.0929341186738384e-05,1.0929341186738384e-05
25,1.5415156,0.4059747,24.53703,220.68627,321.78869,266.00592,0.91569926674468,2.16733193325532,1.9139116507043168,12538 (1998 OH),12538,20012538,an,APO,Y,15.96,1.663,.0287053,13981,11576,0,1987-08-22,2025-12-01,2025-12-02 06:17:32,653,2461200.5,1.54151556458099,0.4059746714909222,24.53702378696844,220.6862670531178,321.7886995932497,266.0059047137472,0.0005939666379767437,(2020 HR7),322.71122377301117,-1.5286252789792343e-05,1.54151556455947,0.4059746714683435,24.53702378629691,220.686267054652,321.7886995999642,266.005904748677,-3.544053006621084e-08,-2.8531656537378325e-08,-6.213703091617617e-06,-2.945348001048842e-06,9.599964243989234e-06,-1.5251323020493146e-05,1.5251323020493146e-05
26,0.8586365,0.6427473,19.2213,161.99674,47.81378,206.20972,0.30675020794355,1.41052279205645,0.7956352557713102,87684 (2000 SY2),87684,20087684,an,ATE,Y,15.96,,.0467917,17573,2531,0,1977-10-07,2025-11-17,2025-11-18 05:54:39,444,2461200.5,0.8586365365247793,0.6427472570213498,19.22130245275723,161.9967315651016,47.81379291750046,206.2097232475061,0.0007866295714994861,523950 (1998 SZ27),423.82717517452005,3.2475061004788586e-06,0.8586365365189436,0.6427472570206143,19.22130245141392,161.9967315606926,47.81379292395247,206.2097232585411,3.651894353584595e-08,-4.297938571706794e-08,2.4514139198572593e-06,-8.439307379148886e-06,1.2923952454002574e-05,3.258541084960598e-06,1.2923952454002574e-05
27,1.7764915,0.4144802,60.6846,43.45101,2.59571,109.8499,1.0401709477816998,2.5128120522183,2.3677982802020274,138095 (2000 DK79),138095,20138095,an,AMO,Y,15.98,,.048605,14688,1108,0,1986-04-09,2026-06-26,2026-09-02 08:23:36,JPL 230,2461200.5,1.776491520851629,0.4144801994429198,60.6846034617575,43.45100485541386,2.595711976174832,109.8498966338152,0.000326075954450241,345813 (2007 HX4),803.8487474147987,-3.3661847851362836e-06,1.776491520830034,0.414480199486424,60.68460346197541,43.45100485332967,2.595711972522176,109.8498965954966,2.0830034141994247e-08,-5.135760150487556e-10,3.4619754103459854e-06,-5.146670332578651e-06,1.972522170490265e-06,-3.404503388537705e-06,5.146670332578651e-06
28,2.379216,0.5758477,5.87999,26.93149,174.56857,242.39075,1.0091499385968001,3.7492820614032,3.6698710766676736,52768 (1998 OR2),52768,20052768,an,APO,Y,16.02,1.75,.00717786,14014,6120,0,1987-06-30,2025-11-11,2025-12-04 05:26:10,381,2461200.5,2.379215973379453,0.5758477356578579,5.87999427192012,26.93149499099162,174.5685715844605,242.390754609382,0.00034636558656683396,(2006 HW5),98.33184066702859,4.609381988984751e-06,2.37921597324292,0.5758477356169405,5.879994273356695,26.93149499136973,174.5685715958517,242.3907546758221,-2.6757080107131515e-08,3.561694050802089e-08,4.273356694284303e-06,4.991369735307671e-06,1.5958516996761318e-06,4.675822111721573e-06,4.991369735307671e-06
29,1.8469723,0.5893724,51.3362,164.28075,293.54199,43.07106,0.75841780281548,2.93552679718452,2.5100973963501163,23187 (2000 PN9),23187,20023187,an,APO,Y,16.04,,.0139315,13096,2706,0,1990-08-02,2026-06-10,2026-06-16 06:21:02,JPL 496,2461200.5,1.846972271606353,0.5893723822579924,51.33619490892929,164.2807539375426,293.5419880997811,43.07106623931603,0.0003386007983098751,(2020 PC3),656.020100329562,6.239316036271703e-06,1.846972271566973,0.5893723822544344,51.33619490822652,164.280753939137,293.5419880947306,43.07106621358169,-2.8433027043917036e-08,-1.7745565572546695e-08,-5.091773481069595e-06,3.9391370023622585e-06,-1.9052694142374094e-06,6.213581684733072e-06,6.213581684733072e-06
30,1.4707151,0.56018,6.35218,35.50297,286.09771,224.3616,0.646849915282,2.294580284718,1.7835809581481306,1862 Apollo (1932 HA),1862,20001862,an,APO,Y,16.09,1.5,.0263183,34822,3701,0,1930-12-13,2026-04-15,2026-08-31 06:24:24,JPL 579,2461200.5,1.470715141636512,0.5601800481295997,6.352178986018433,35.50294307615321,286.0977380402823,224.3616015046227,0.0019471638926560862,(2025 UR14),287.9631194981362,1.504622701986591e-06,1.470715141695444,0.5601800482297629,6.352178985188774,35.50294308273678,286.0977380255908,224.3616014791252,4.169544398635594e-08,4.8229762850127145e-08,-1.0148112252750252e-06,-2.691726322723298e-05,2.8025590779634513e-05,1.4791251885526435e-06,2.8025590779634513e-05
31,2.7060815,0.8582965,48.41215,309.2807,114.23695,270.53778,0.38346121983524994,5.02870178016475,4.451550539477713,523630 (2009 OG),523630,20523630,an,APO,Y,16.10,,.0441343,5013,311,0,2009-07-17,2023-04-08,2026-02-02 05:18:51,66,2461200.5,2.706081466440559,0.8582964461845293,48.41218592405293,309.2806871957031,114.2369578824038,270.5377814872627,0.0019504513266126544,(2020 QY1),1057.1012718629775,1.4872626934447908e-06,2.706081465338939,0.8582964462151144,48.41218593220992,309.2806872020471,114.2369578832319,270.5377818788323,-3.466106068827912e-08,-5.378488565632722e-08,3.593220992570423e-05,-1.2797952933851775e-05,7.883231887717557e-06,1.8788322790896927e-06,1.2797952933851775e-05
32,2.1329374,0.5261187,11.6234,58.16545,183.58089,165.35889,1.01075914793062,3.25511565206938,3.1150653653626112,143651 (2003 QO104),143651,20143651,an,APO,Y,16.11,,.000108054,16267,1326,0,1981-07-10,2026-01-22,2026-09-03 06:18:33,JPL 313,2461200.5,2.132937443373551,0.5261187140197575,11.62339794349011,58.16545675873449,183.5808884782412,165.358894686971,0.0003650084463634539,(2021 KG),251.28433591713392,4.686971010414709e-06,2.132937443006423,0.5261187140660644,11.6233979453997,58.16545675487534,183.5808884822634,165.3588947536612,4.3006423311453545e-08,1.4066064313311699e-08,-2.0546002996724155e-06,6.7548753577284515e-06,-1.5177366208263265e-06,4.753661187351099e-06,6.7548753577284515e-06
33,1.9713638,0.5537355,27.12971,315.60707,57.99014,59.04571,0.8797496805250999,3.0629779194749003,2.767898536634553,143992 (2004 AF),143992,20143992,an,APO,Y,16.13,,.033438,15083,1242,0,1985-01-21,2026-05-09,2026-05-09 06:52:41,218,2461200.5,1.97136384032924,0.5537354854450662,27.12970927153134,315.6070760711927,57.99013727975882,59.0457078813882,0.0003383019802870373,(2021 RU9),418.8714548791847,-2.1186118033256207e-06,1.971363840341301,0.5537354854538237,27.12970927106264,315.607076065155,57.99013727387393,59.0457078333157,4.034130096641775e-08,-1.4546176374530262e-08,-7.289373584740133e-07,6.065154991574673e-06,-2.726126069774182e-06,-2.166684282656206e-06,6.065154991574673e-06
34,2.626685,0.6307928,2.79844,266.7232,95.499,320.72557,0.969791014132,4.283578985868,4.25708175844157,4015 Wilson-Harrington (1979 VA),4015,20004015,an,APO,Y,16.16,4,.0430642,27524,1522,0,1949-11-19,2025-03-29,2026-03-12 08:02:40,334,2461200.5,2.626684973602551,0.6307928317562872,2.798440660752119,266.7232510779861,95.49895026515443,320.7255713035856,0.003565404741371062,(2024 YM4),269.5832954063913,1.3035855772614013e-06,2.626684972104266,0.6307928318254931,2.798440661674408,266.7232510060605,95.49895033937398,320.7255717123385,-2.7895734167060482e-08,3.1825493018722284e-08,6.616744081533454e-07,5.10060604597129e-05,-4.9660626018521725e-05,1.7123384736805747e-06,5.10060604597129e-05
35,1.1099069,0.292096,44.05781,38.30847,91.01207,20.86395,0.7857075341376,1.4341062658623998,1.1693104392471376,164121 (2003 YT1),164121,20164121,an,APO,Y,16.15,1.717,.00303813,15580,2597,0,1982-11-19,2025-07-16,2025-07-17 05:48:24,356,2461200.5,1.109906933210648,0.2920960046659441,44.05782197033246,38.30847047157867,91.01206924581963,20.8639533381755,0.0006011573133056388,(2019 UU6),269.5616020041574,3.338175503131424e-06,1.109906933207152,0.2920960046449392,44.05782197010662,38.30847046764691,91.01206925083206,20.86395337924843,3.3207152139169693e-08,4.644939155529215e-09,1.1970106619685339e-05,4.6764691319367557e-07,-7.49167952562857e-07,3.3792484259720368e-06,3.3792484259720368e-06
36,2.7171262,0.784464,46.75042,70.17634,277.9808,113.40946,0.5856385126431999,4.8486138873568,4.478831410280345,267494 (2002 JB9),267494,20267494,an,APO,Y,16.17,,.0316893,8350,621,0,2002-04-21,2025-03-01,2025-03-02 05:37:31,126,2461200.5,2.717126159613463,0.7844640480670089,46.75042567115303,70.17634038770063,277.9808066389882,113.4094548522425,0.0004492704693978965,(2016 JU38),665.9959291018318,-5.1477574913860735e-06,2.717126160550511,0.7844640479903118,46.75042566314954,70.17634039384463,277.9808066390098,113.4094546014408,-3.944948900880263e-08,4.799031172453283e-08,5.663149543977397e-06,3.938446297979681e-07,6.639009825448738e-06,-5.398559210334497e-06,6.639009825448738e-06
37,0.7532601,0.3398784,24.92726,272.66887,156.64665,348.82064,0.49724326242815997,1.00927693757184,0.6537586458060702,308242 (2005 GO21),308242,20308242,an,ATE,Y,16.18,,.0439809,7457,557,0,2005-04-01,2025-08-31,2026-06-16 11:32:16,JPL 163,2461200.5,0.7532600546266346,0.3398784441847057,24.92725987484871,272.6688732981203,156.6466486786462,348.8206440063541,0.00020363198397235747,(2017 MS8),375.3107614864193,4.00635406094807e-06,0.7532600546249406,0.3398784441624721,24.92725987517656,272.6688732979414,156.6466486724844,348.8206439992447,-4.537505937651787e-08,4.4162472068176584e-08,-1.2482344047271e-07,3.2979413617795217e-06,-1.3275156049985526e-06,3.999244654551148e-06,3.999244654551148e-06
