ID,a,e,i,Omega,omega,M,q,Q,P_yr,mpc_des,mpc_name,mpc_H,mpc_nobs,mpc_arc,mpc_U,mpc_flags,mpc_epoch,mpc_dist,mpc_max_abs_diff,sbdb_name,sbdb_spkid,sbdb_dist,sbdb_H,sbdb_diameter_km,sbdb_moid_au,sbdb_pha,sbdb_class,sbdb_arc_d,sbdb_nobs,sbdb_cc,hz_maxdev
23,2.8902616,0.8954152,24.285,126.52941,302.96204,171.66312,0.30227743138368013,5.47824576861632,4.913667095095631,r3671,(533671) Nabu,15.93,819,2005-2024,0,9803,K2669,0.024494897425091474,2.0000000006348273e-05,533671 Nabu (2014 LJ21),20533671,0.004240954265655034,15.93,,.0270039,Y,APO,6977,836,0,6.460696818066936e-05
24,1.2900749,0.2993525,64.00427,94.35212,61.50561,121.87829,0.90388775349775,1.67626204650225,1.4652859601392347,02102,(2102) Tantalus,15.96,1967,1975-2026,0,9803,K2669,0.0,0.0,2102 Tantalus (1975 YA),20002102,0.0005618666201385334,15.99,1.649,.0425508,Y,APO,18481,2349,0,1.0929341186738384e-05
25,1.5415156,0.4059747,24.53703,220.68627,321.78869,266.00592,0.91569926674468,2.16733193325532,1.9139116507043168,12538,(12538) 1998 OH,15.96,11242,1987-2025,0,9803,K2669,0.0,0.0,12538 (1998 OH),20012538,0.0005939666379767437,15.96,1.663,.0287053,Y,APO,13981,11576,0,1.5251323020493146e-05
26,0.8586365,0.6427473,19.2213,161.99674,47.81378,206.20972,0.30675020794355,1.41052279205645,0.7956352557713102,87684,(87684) 2000 SY2,15.96,2250,1977-2025,0,9802,K2669,0.0,0.0,87684 (2000 SY2),20087684,0.0007866295714994861,15.96,,.0467917,Y,ATE,17573,2531,0,1.2923952454002574e-05
27,1.7764915,0.4144802,60.6846,43.45101,2.59571,109.8499,1.0401709477816998,2.5128120522183,2.3677982802020274,D8095,(138095) 2000 DK79,15.99,956,2000-2026,0,9804,K2669,0.014142135623195561,1.0000000003174137e-05,138095 (2000 DK79),20138095,0.000326075954450241,15.98,,.048605,Y,AMO,14688,1108,0,5.146670332578651e-06
28,2.379216,0.5758477,5.87999,26.93149,174.56857,242.39075,1.0091499385968001,3.7492820614032,3.6698710766676736,52768,(52768) 1998 OR2,16.02,5983,1987-2025,0,9804,K2669,0.0,0.0,52768 (1998 OR2),20052768,0.00034636558656683396,16.02,1.75,.00717786,Y,APO,14014,6120,0,4.991369735307671e-06
29,1.8469723,0.5893724,51.3362,164.28075,293.54199,43.07106,0.75841780281548,2.93552679718452,2.5100973963501163,23187,(23187) 2000 PN9,16.03,2655,1990-2026,0,9803,K2669,0.0,0.0,23187 (2000 PN9),20023187,0.0003386007983098751,16.04,,.0139315,Y,APO,13096,2706,0,6.213581684733072e-06
30,1.4707151,0.56018,6.35218,35.50297,286.09771,224.3616,0.646849915282,2.294580284718,1.7835809581481306,01862,(1862) Apollo,16.09,3363,1930-2026,0,9803,K2669,0.0,0.0,1862 Apollo (1932 HA),20001862,0.0019471638926560862,16.09,1.5,.0263183,Y,APO,34822,3701,0,2.8025590779634513e-05
31,2.7060815,0.8582965,48.41215,309.2807,114.23695,270.53778,0.38346121983524994,5.02870178016475,4.451550539477713,q3630,(523630) 2009 OG,16.10,310,2009-2023,0,9803,K2669,0.0,0.0,523630 (2009 OG),20523630,0.0019504513266126544,16.10,,.0441343,Y,APO,5013,311,0,1.2797952933851775e-05
32,2.1329374,0.5261187,11.6234,58.16545,183.58089,165.35889,1.01075914793062,3.25511565206938,3.1150653653626112,E3651,(143651) 2003 QO104,16.11,1357,1981-2026,0,9804,K2669,0.010000000003174137,1.0000000003174137e-05,143651 (2003 QO104),20143651,0.0003650084463634539,16.11,,.000108054,Y,APO,16267,1326,0,6.7548753577284515e-06
33,1.9713638,0.5537355,27.12971,315.60707,57.99014,59.04571,0.8797496805250999,3.0629779194749003,2.767898536634553,E3992,(143992) 2004 AF,16.13,957,1985-2026,0,9803,K2669,0.0,0.0,143992 (2004 AF),20143992,0.0003383019802870373,16.13,,.033438,Y,APO,15083,1242,0,6.065154991574673e-06
34,2.626685,0.6307928,2.79844,266.7232,95.499,320.72557,0.969791014132,4.283578985868,4.25708175844157,04015,(4015) Wilson-Harrington,16.13,1809,1949-2026,0,9803,K2669,0.0,0.0,4015 Wilson-Harrington (1979 VA),20004015,0.003565404741371062,16.16,4,.0430642,Y,APO,27524,1522,0,5.10060604597129e-05
35,1.1099069,0.292096,44.05781,38.30847,91.01207,20.86395,0.7857075341376,1.4341062658623998,1.1693104392471376,G4121,(164121) 2003 YT1,16.15,2298,1982-2025,0,9803,K2669,0.0,0.0,164121 (2003 YT1),20164121,0.0006011573133056388,16.15,1.717,.00303813,Y,APO,15580,2597,0,3.3792484259720368e-06
36,2.7171262,0.784464,46.75042,70.17634,277.9808,113.40946,0.5856385126431999,4.8486138873568,4.478831410280345,Q7494,(267494) 2002 JB9,16.17,597,2002-2025,0,9803,K2669,0.0,0.0,267494 (2002 JB9),20267494,0.0004492704693978965,16.17,,.0316893,Y,APO,8350,621,0,6.639009825448738e-06
37,0.7532601,0.3398784,24.92726,272.66887,156.64665,348.82064,0.49724326242815997,1.00927693757184,0.6537586458060702,U8242,(308242) 2005 GO21,16.18,540,2005-2025,0,9802,K2669,0.0,0.0,308242 (2005 GO21),20308242,0.00020363198397235747,16.18,,.0439809,Y,ATE,7457,557,0,3.999244654551148e-06
38,2.1368372,0.5778302,9.53681,78.7561,39.13098,286.60515,0.90210813335656,3.37156626664344,3.123612510048614,31669,(31669) 1999 JT6,16.18,1572,1996-2026,0,9803,K2669,0.0,0.0,31669 (1999 JT6),20031669,0.00028171205129994806,16.19,,.0012154,Y,APO,11040,1673,0,5.409485282825699e-06
39,2.0053413,0.5700748,52.36973,252.04419,219.55372,117.7066,0.86214675947076,3.14853584052924,2.8397652947556566,a9264,(369264) 2009 MS,16.32,314,2009-2026,0,9803,K2669,0.010000000003174137,1.0000000003174137e-05,369264 (2009 MS),20369264,0.0009678968403783313,16.35,1.515,.0436892,Y,APO,6255,473,0,1.7773954198219144e-05
40,2.2749288,0.5664273,9.28064,247.76284,322.40456,21.0016,0.9863470221237601,3.56351057787624,3.4312448755660925,G3051,(163051) 2001 YJ4,16.36,2083,1978-2026,0,9803,K2669,0.0,0.0,163051 (2001 YJ4),20163051,0.00030707327519126425,16.33,,.0326771,Y,APO,17741,2132,0,4.808763321761944e-06
41,2.5345579,0.6190904,47.83485,55.15904,187.34432,105.13552,0.9654374358658399,4.10367836413416,4.035090923276905,o7716,(507716) 2013 UP8,16.35,215,2013-2025,0,9803,K2669,0.0,0.0,507716 (2013 UP8),20507716,0.0005760651810316035,16.35,,.0422866,Y,APO,4362,221,0,1.0964511602651328e-05
42,1.0569542,0.3442881,25.15147,236.20005,255.58121,238.7447,0.69305744669498,1.42085095330502,1.0866364109668516,68950,(68950) 2002 QF15,16.39,2848,1955-2026,0,9803,K2669,0.0,0.0,68950 (2002 QF15),20068950,0.0004747456551837634,16.39,1.650,.00610739,Y,APO,25963,2954,0,6.5714731078969635e-06
43,2.1080611,0.7625195,11.62102,135.99028,107.91942,275.26427,0.50062340405855,3.7154987959414503,3.0607283870380018,c2395,(382395) 1990 SM,16.40,266,1987-2026,0,9803,K2669,0.0,0.0,382395 (1990 SM),20382395,0.0010394320215491382,16.40,,.0334116,Y,APO,13985,275,0,1.8960230590892024e-05
44,0.7615816,0.6016359,20.2845,203.55397,148.33841,279.20801,0.30338676866055997,1.21977643133944,0.6646219254296563,G3243,(163243) 2002 FB3,16.42,1774,2002-2026,0,9802,K2669,0.0,0.0,163243 (2002 FB3),20163243,0.001086281995455461,16.42,1.682,.00314578,Y,ATE,8856,1995,0,1.8094876708119045e-05
45,1.5062784,0.4303842,37.98278,164.09288,125.15536,49.97368,0.85799997583872,2.15455682416128,1.8486635253240153,08566,(8566) 1996 EN,16.47,3346,1996-2025,0,9803,K2669,0.0,0.0,8566 (1996 EN),20008566,0.00038588915964494575,16.47,1.568,.022431,Y,APO,15282,3649,0,6.334767817861575e-06
46,2.1965633,0.5440374,13.53118,82.01076,204.47648,312.60606,1.00155071333258,3.3915758866674204,3.25548414638974,03671,(3671) Dionysus,16.50,1189,1984-2026,0,9804,K2669,0.0,0.0,3671 Dionysus (1984 KD),20003671,0.0012440191511869975,16.50,1.5,.0157607,Y,APO,15365,1193,0,1.7725614299024528e-05
47,2.8487174,0.6529252,1.99822,141.2725,293.89656,298.65131,0.98871802186152,4.70871677813848,4.8081062080279215,L4869,(214869) 2007 PA8,16.50,771,2002-2026,0,9803,K2669,0.010000000031595846,1.0000000031595846e-05,214869 (2007 PA8),20214869,0.003905571847997717,16.51,,.0302679,Y,APO,8796,791,0,5.7354287719135755e-05
48,2.6346507,0.8696748,5.9548,84.58326,302.38055,277.11768,0.34336137940764005,4.92594002059236,4.276461508533989,D9359,(139359) 2001 ME1,16.52,765,2001-2025,0,9803,K2669,0.0,0.0,139359 (2001 ME1),20139359,0.00479446689157785,16.52,,.0134442,Y,APO,8772,740,0,0.00017923778898421006
49,1.0779942,0.8270189,22.80162,87.94857,31.44438,329.18266,0.18647262250962,1.9695157774903802,1.1192436427548702,01566,(1566) Icarus,16.53,1842,1949-2025,0,9803,K2669,0.0,0.0,1566 Icarus (1949 MA),20001566,0.0012768447961480711,16.53,1.0,.0338047,Y,APO,27807,1792,0,1.4476092928816797e-05
50,1.8662592,0.5078643,10.61149,284.1074,61.54418,231.68165,0.9184527777734399,2.8140656222265603,2.5495171780363886,99248,(99248) 2001 KY66,16.54,3514,1991-2026,0,9803,K2669,0.0,0.0,99248 (2001 KY66),20099248,0.00046985368384232115,16.54,1.115,.0466999,Y,APO,12734,3607,0,5.1329316477222164e-06
51,2.0361805,0.4927933,10.029,313.49561,344.83848,49.36415,1.0327643920093499,3.03959660799065,2.9055236245451606,39572,(39572) 1993 DQ1,16.55,814,1993-2025,0,9804,K2669,0.0,0.0,39572 (1993 DQ1),20039572,0.002508193826302986,16.56,1.554,.0270103,Y,AMO,11718,892,0,3.813294438259618e-05
52,1.7352089,0.5283516,42.36114,131.99742,300.71884,105.2967,0.8184085013507599,2.65200929864924,2.2857443230069947,89959,(89959) 2002 NT7,16.55,1689,1954-2026,0,9803,K2669,0.0,0.0,89959 (2002 NT7),20089959,0.0005373810784136064,16.55,1.407,.000333015,Y,APO,26291,1971,0,8.90668189867938e-06
53,2.31463,0.6050551,29.53092,132.13915,224.21624,268.48277,0.9141513138870002,3.715108686113,3.5214568130206922,c5343,(385343) 2002 LV,16.55,1869,2002-2026,0,9803,K2669,0.0,0.0,385343 (2002 LV),20385343,0.0004162823342449017,16.55,1.359,.00741433,Y,APO,8770,1963,0,7.461631611249686e-06
54,1.319908,0.3266154,17.99169,18.12085,48.77155,331.74911,0.8888057206168001,1.7510102793832003,1.5164059915196397,68216,(68216) 2001 CV26,16.57,2925,1995-2025,0,9803,K2669,0.0,0.0,68216 (2001 CV26),20068216,0.0007705652210036921,16.57,0.994,.0243888,Y,APO,8878,3052,0,1.3875981665023573e-05
55,1.7074001,0.4367044,22.71515,302.02023,24.71568,91.62974,0.9617709637695601,2.45302923623044,2.231017381328187,68548,(68548) 2001 XR31,16.57,1296,1994-2026,0,9803,K2669,0.0,0.0,68548 (2001 XR31),20068548,0.00045313353337144335,16.57,1.182,.0253827,Y,APO,11630,1389,0,7.841908995942504e-06
56,1.348659,0.3295322,33.46935,117.85066,47.49688,264.1083,0.9042324326801999,1.7930855673198,1.5662216839025551,07482,(7482) 1994 PC1,16.58,2071,1974-2025,0,9803,K2669,0.0,0.0,7482 (1994 PC1),20007482,0.0005030065784642321,16.58,1.052,.000613959,Y,APO,18595,2081,0,7.0691526161681395e-06
57,1.4229631,0.2897508,55.89453,171.12615,186.41125,194.80694,1.01065840340452,1.83526779659548,1.6974244646441157,E4332,(144332) 2004 DV24,16.60,1894,2001-2026,0,9804,K2669,0.0,0.0,144332 (2004 DV24),20144332,0.000465542640318015,16.60,,.00554886,Y,APO,25995,2148,0,7.096192206290652e-06
58,3.0280445,0.727252,20.16655,110.95612,126.42497,263.41986,0.825893081286,5.230195918714,5.269184187580908,m5652,(485652) 2011 WO41,16.60,679,2011-2022,0,9803,K2669,0.0,0.0,485652 (2011 WO41),20485652,0.0006283292239802292,16.60,,.0131123,Y,APO,3879,702,0,1.1810112994226074e-05
59,1.6359485,0.5001928,7.40973,10.62092,105.96629,96.27681,0.8176588391292,2.4542381608708,2.09244688113823,05011,(5011) Ptah,16.64,756,1960-2026,0,9803,K2669,0.0,0.0,5011 Ptah (6743 P-L),20005011,0.0010285527856949048,16.64,,.0245205,Y,APO,24003,782,0,1.508920314563511e-05
60,0.6423893,0.6883841,38.87863,244.89558,192.65395,5.45664,0.20017871986987,1.08459988013013,0.5148698343159638,66391,(66391) Moshup,16.64,4180,1999-2026,0,9802,K2669,0.0,0.0,66391 Moshup (1999 KW4),20066391,0.0008665983533315506,16.64,1.317,.0132404,Y,ATE,10188,3871,0,9.377139443245142e-05
61,2.5262805,0.7117857,4.44104,177.7231,316.20909,307.68577,0.7281101659111501,4.32445083408885,4.015340273390912,L7628,(217628) Lugh,16.67,504,1960-2026,0,9803,K2669,0.09486832983427447,8.000000002539309e-05,217628 Lugh (1990 HA),20217628,0.0034513533402313833,16.68,1.4,.0338864,Y,APO,24078,536,0,5.796825507786707e-05
62,2.387441,0.605372,23.72574,9.79921,145.04893,80.61119,0.9421510669479999,3.832730933052,3.6889177470026633,b4851,(374851) 2006 VV2,16.71,1598,2002-2024,0,9803,K2669,0.0,0.0,374851 (2006 VV2),20374851,0.000489972094415813,16.71,,.0108545,Y,APO,8092,1610,0,8.139852127442282e-06
63,1.7840613,0.5082827,53.19536,357.06027,225.62494,232.59781,0.87725380547049,2.69086879452951,2.3829485127777703,E0288,(140288) 2001 SN289,16.73,455,1996-2025,0,9803,K2669,0.0,0.0,140288 (2001 SN289),20140288,0.0015819842188345525,16.73,1.263,.0177594,Y,APO,10719,535,0,1.1040067192880088e-05
64,3.6552163,0.7238267,44.12226,19.21585,343.26959,158.3527,1.0094731477847898,6.300959452215211,6.988269139017023,K10H22Y,2010 HY22,16.73,67,2010-2023,1,9804,K2669,0.0,0.0,(2010 HY22),50518332,0.004059695249492776,16.73,,.0286911,Y,APO,4987,65,1,177.07991375939469
65,1.2705255,0.5851656,5.05883,96.9752,258.97377,256.07234,0.5270576834772001,2.0139933165227997,1.4321057185583643,05693,(5693) 1993 EA,16.78,2878,1984-2026,0,9803,K2669,0.0,0.0,5693 (1993 EA),20005693,0.0004129918425138385,16.78,,.00586101,Y,APO,15464,3139,0,7.036583497210813e-06
66,1.8432235,0.5812927,38.56598,116.51175,104.09227,165.59509,0.7717711349815499,2.91467586501845,2.5024591577789344,A3067,(103067) 1999 XA143,16.80,1620,1994-2025,0,9803,K2669,0.0,0.0,103067 (1999 XA143),20103067,0.000513410342745701,16.80,1.282,.0409757,Y,APO,11244,1694,0,2.2376879940111394e-06
67,1.572938,0.3950417,1.43938,99.34195,248.25683,279.89083,0.9515618984854001,2.1943141015145997,1.972728899252403,D6618,(136618) 1994 CN2,16.84,1298,1994-2026,0,9803,K2669,0.0,0.0,136618 (1994 CN2),20136618,0.024205212524687252,16.85,,.0124418,Y,APO,11801,1599,0,0.0003445022709058776
68,1.1365852,0.1437417,13.91996,139.30103,207.02937,228.31822,0.9732105111571601,1.29995988884284,1.2117220052794353,35107,(35107) 1991 VH,16.86,6017,1991-2026,0,9803,K2669,0.0,0.0,35107 (1991 VH),20035107,0.00029742796719998,16.86,0.929,.0264548,Y,APO,12673,6255,0,4.297051987123268e-06
69,2.3576072,0.5676514,6.24493,226.5645,181.29566,11.19621,1.01930817226992,3.6959062277300796,3.6199883571832476,D8524,(138524) 2000 OJ8,16.86,1004,2000-2025,0,9804,K2669,0.02236067978209548,2.0000000006348273e-05,138524 (2000 OJ8),20138524,0.00039269638520529485,16.86,,.028276,Y,AMO,9129,1051,0,7.734962110816923e-06
70,2.0150725,0.5332099,8.18219,306.75571,175.26452,117.8256,0.94061589378225,3.0895291062177503,2.8604608904356503,P1346,(251346) 2007 SJ,16.88,990,1990-2024,0,9803,K2669,0.0,0.0,251346 (2007 SJ),20251346,0.003531283757791285,16.88,,.0415881,Y,APO,12496,1034,0,5.291307260790745e-05
71,1.5075512,0.4165127,16.69512,219.36124,140.29002,93.30517,0.87963697929976,2.13546542070024,1.8510071916042348,68346,(68346) 2001 KZ66,16.92,1133,1979-2026,0,9803,K2669,0.0,0.0,68346 (2001 KZ66),20068346,0.0011078644227024588,16.92,0.736,.0388684,Y,APO,16882,1249,0,1.974377630631352e-05
72,2.4449438,0.7906999,1.97391,195.43379,286.41433,268.15672,0.5117269818343799,4.378160618165619,3.8229914011349773,T7274,(297274) 1996 SK,16.91,478,1996-2026,0,9803,K2669,0.1774823934914864,0.00013000000001284207,297274 (1996 SK),20297274,0.0011497058068374278,16.92,1.199,.00623655,Y,APO,10919,492,0,2.094208412017906e-05
73,1.9672729,0.6076793,2.66375,181.16134,89.3949,96.56151,0.7718018812190299,3.16274391878097,2.75928724957336,E3404,(143404) 2003 BD44,16.95,1465,1981-2025,0,9803,K2669,0.0,0.0,143404 (2003 BD44),20143404,0.001534998029935234,16.95,,.0176509,Y,APO,16352,1650,0,2.363037123132017e-05
74,1.84152,0.5061514,5.40987,294.72295,173.52039,274.45797,0.909432073872,2.7736079261280002,2.4989908148930455,07341,(7341) 1991 VK,16.96,2337,1991-2026,0,9803,K2669,0.010000000031595846,1.0000000031595846e-05,7341 (1991 VK),20007341,0.0019026553863139778,16.96,0.982,.0478435,Y,APO,12775,2421,0,2.8048552792370174e-05
75,2.4337077,0.6170326,9.6898,107.56402,237.79733,294.82403,0.9320307102289799,3.9353846897710194,3.7966680207882697,F9504,(159504) 2000 WO67,16.96,718,2000-2026,0,9803,K2669,0.0,0.0,159504 (2000 WO67),20159504,0.001871934916244781,16.96,2.324,.0495539,Y,APO,9302,756,0,2.823417707986664e-05
76,1.4421372,0.4840079,4.09944,213.60445,103.10746,253.50666,0.7441314023161201,2.14014299768388,1.7318483870295673,35396,(35396) 1997 XF11,17.01,2372,1990-2026,0,9803,K2669,0.0,0.0,35396 (1997 XF11),20035396,0.0006221318447220094,17.01,0.704,.000159853,Y,APO,13144,2664,0,8.748875018227409e-06
77,2.5924797,0.6179423,13.23278,1.27533,5.22298,316.73554,0.9904768314786899,4.194482568521311,4.174198009079636,g2787,(422787) 2001 WS1,17.03,1317,1997-2026,0,9803,K2669,0.0,0.0,422787 (2001 WS1),20422787,0.000550446761584436,17.03,,.0116021,Y,APO,10549,1349,0,9.180932835306521e-06
78,1.5658196,0.407978,36.0152,279.53942,130.68633,138.66261,0.9269996512312001,2.2046395487688,1.959352554753583,T4739,(294739) 2008 CM,17.04,1751,2008-2025,0,9803,K2669,0.0,0.0,294739 (2008 CM),20294739,0.0003265034569914035,17.04,0.740,.0437237,Y,APO,6471,1912,0,1.0682483605251036e-05
79,1.3084955,0.2126112,9.02376,264.506,184.85396,284.01604,1.0302947015504,1.5866962984496,1.496781304960453,67367,(67367) 2000 LY27,17.05,574,1976-2026,0,9804,K2669,0.0,0.0,67367 (2000 LY27),20067367,0.0018343512278580535,17.08,,.0463995,Y,AMO,18299,730,0,2.7297950708771168e-05
80,1.9312461,0.6206467,23.55872,115.78687,67.45131,197.87281,0.73262458114713,3.1298676188528702,2.6838388152263293,b7732,(377732) 2005 XJ8,17.06,841,2005-2025,0,9803,K2669,0.0,0.0,377732 (2005 XJ8),20377732,0.0003488763202952566,17.06,0.986,.0160871,Y,APO,7174,874,0,6.326261200229055e-06
